,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,XTZ,BSV,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0203530092270739,0.0791551136652641,0.0735033636372535,0,0,0,0,0,0.128343015885461,0,0.0105501138143619,-0.00000000000000000173472347597681,0,0,0,0,0,0
ETH,0,0,0,0,0.189145929750763,0.0707340614798163,0,0.0497478785779791,0.0353383990860852,0,0,0,0.0382843490010721,0.0315210378307693,0,0,0,0,0,0
XRP,0,0,0,0,0.0684767413863902,0,0,0.0769711252489046,0.0736128264874309,0.00178197671148769,0.154537004680221,0,0.0281155491653957,0.0353169040376082,0,0,0,0,0,0
BCH,0,0,0,0,0.0941721898596445,0.450676962901525,0,0,0.0181643288389112,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.22765579044528,0,0.199616415288434,0,0.0230943837809763,0,0,0,0.0100496503963927,0.100487337902654,0,0.00347899476913989,0,0,0,0,0,0,0
LTC,0,0,0,0.45445658397217,0.0894741952043631,0,0,0,0.0162278256546042,0,0,0,0,0.0158329461726425,0,0,0,0,0,0
BNB,0,0,0,0,0,0.11324148588235,0,0,0,0,0.0986753249802079,0.155779857784219,-0.00816433611788002,0.1300677628971,0,0,0,0,0,-0.112183451449846
XLM,0,0.225277650570518,0,0.0145214320490979,0,0,0,0,0.110522311591614,0.0937909041820529,0.0307646989711735,0.137241915207008,0,0,0,0,0,0,0,0
ADA,0,0,0.217019250868553,0.321461050891016,0,0,0,0,0,0,0,0,0.0833168984504171,0.143169595874291,0,0,0,0,0,0
TRX,0,0,0.227280949974056,0.0157001061893165,0.0441132634686983,0.0832338161265817,0,0.0742479136714963,0.118071486504396,0,0.000000000000000000867361737988404,0,0,0.0278541148223436,0,0,0,0,0,0
XMR,0,0.101620134292226,0,0,0.0718451190137568,0,0,0.0329885042783308,0.0631491379238032,0.0769395576349004,0,0,0.0664475307618513,0.0991049778325043,0.0405700939972476,0,0,0,0,0
DASH,0,0,0,0.0417792277309939,0,0,0.0268426978743762,0.196904889916413,0,0.0474641815495775,0.164766598327165,0,-0.00000000000000000173472347597681,0.0146832886593802,0,0,0,0,0,0
XTZ,0,0,0.0783073630738494,0,0.171376229288974,0,0,0,0.301306787680411,0,0.359182730097302,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.0694816272040832,0,0.240238224869492,-0.00000000000000000010842021724855,0,0.0429900434216172,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0861021312766373,0,0,0,0,0,0.0848937892912263,0,0.137437420304931,0,0.0246579836606998,0.122656737726853,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0670878795864724
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618146028580786
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
