,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.27872399407937,0.0487406133695281,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0.130527939925034,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.602425725107989,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00969748887099881
XEM,0.385584119942722,0,0,0,0,0,0,0,0.628180743219584,0.0270956642341263,0,0,0,0,0
DASH,0,0.0734273777558879,0,0.113015848110351,0,0,0,0,0,0.0269378649707172,0,0,0,0,0
DOGE,0.385720716885318,0,0,0,0.0171263280212016,0,0,0,0,0,0,0,0,0,0.0309436436415232
XMR,0.533288974541456,-0.0955609252372926,0,0,-0.0659390517452083,0.184386078786227,0.0689413969224476,0,0,0.0146291548642294,0,0,0,0,-0.0607902177546795
XLM,0,0,0,0.0877267241950725,0.125204196600185,0,0.0786375079236617,0.0318842673365614,0,0,0,0,0,0,0.0173540014879838
DGB,0,0,0,0,0.073853571195879,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753867863417872
CVIX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000490565073048611,0,0,0,0,0.12357603421872
DXY.INDEX,0,0,0,0,0.0000000334349111625396,0,-0.000000543508585223298,-0.000000385731334519588,0,0,0,0.0326937389023418,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648290136833338
VIX.INDEX,0,0,0,0,0,0,0,0,0.00000488678939786574,0,0,0.576003345731996,0,0,0
