,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.10384622541083,-0.00863208480407763,0.0297292382211029,0,0,0.0646770892933125,0,0,0,0,0
ETH,0,0,-0.0259730360795757,0,0,0,0.0875747281545754,0,0,0,0,0,0.048414658277179,0,0,0,0,0
XRP,0,0,0,0,-0.156820043424124,0,0,0,0.4309493097534,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0.0939615055525591,0,0,0,0,0,0,0,0
ETC,0,0.16684144660205,-0.0529596502245641,0,0,0.0771955839935083,0,0,-0.000000000000000000867361737988404,0,0,-0.0293864131248772,0.287181426549459,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0743641912919243,0.106046297100841,0,-0.0837021006479133,0.0736654140223753,0,0,0,0,0
DASH,0,0.00000000000000000173472347597681,-0.0876051888649114,0,0,0,0,0.179546539632888,0.0102631092244688,0,0.0919282084504445,0,0.101304496609821,0,0,0,0,0
XMR,0,0,0,0.0742620755171517,0,0,0.119788501567756,0,0.0319653366805607,0,0,0,0.0509955283432544,0,0,0,0,0
XLM,0,0,0.428054193807304,0,0,0,0.0155886910939309,0.153255257628358,0,0.0921324216975579,0,0.0252591537044687,0,0,0,0,0,0
DOGE,0,0,0.163205026305357,0.0236309042545273,0,0.131058019721222,0,0,0.0744544756072783,0,0.175072064739089,0,0.0622973668975295,0,0,0,0,0
ZEC,0,0.244376735944363,0,0.0221874368394793,0,0,0.108966849963248,0,0.00331687036207232,0.08418872797065,0,0,0.0000000000000000000271050543121376,0,0,0,0,0
DGB,0,0,-0.279887953727972,0,-0.249565205779557,-0.0436498868795968,0,0.203798876089694,0.349891335464045,0.315756779905392,0,0,0,0,0,0,0,-0.393721294532112
NEO,0,0,-0.0100004232375133,0,0,0,0,0,0,0.041654782100005,0.147124590901665,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0133242277759081,0,0,0,0,-0.00728035687863077,0,0,0,0.00982176493323067,0.0271160215324985,0,0,0,0,-0.0787365802285976
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,-0.000537744198099995,0,0,-0.00295146199617095,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.0000000752972029607047,0,0,0.000000377414653697381,0,0,0,0,0,-0.0217691112359994
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
