,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,XMR,ETC,NEO,XEM,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.112287379670314,0,-0.0943631895086927,0.082751711301132,0.0233120842674271,0,0.0659576181036287,0,0,0,0,0.134228192065658,0,0,0,0,0,0
ETH,0,0,0,0,0.05299975784295,0,0,0.0143507981231582,0.0219671050296687,0,0.146214927643564,0.00680179783380264,0.020967643916144,0.0313046590975557,0.00372657807564764,0,0,0,0,0
BCH,0,0,0,0,0.146369146195415,0,0.109492603712688,0,-0.0187684529755579,0,0,0.42176760518687,0,0,-0.000365650234527938,0,0,0,0,0
XRP,0,0,0,0,0,0,-0.0171775486873668,0.0892446231269446,0.0642613882689756,0,0.043389690349144,0,0,0,0.0358125080232732,0,0,0,0,0
DASH,-0.108447249627818,0.0181725080741867,0.0165819409747277,0,0,0,0,0.0402045488763047,0,0.244323909049578,0,0.000848781055608696,0,0.0103939051436576,0,0,0,0,0,0
LTC,0,0,0,0.118696225348756,0,0,0,0.0428004096261377,0.0591542961910028,0,0.114507097665976,0,0,0.021745631689901,0,0,0,0,0,0
BTG,0,0,0.270382445141751,0,0,0,0,0,0,0,0,0,0,0,-0.00200008374396714,0,0,0,0,0
MIOTA,0,0,0,0,0,0,-0.0401383662280387,0,0.294042499687261,0,0.0279384746971382,0,0,0,0.0665146186623401,0,0,0,0,0
ADA,0,0,-0.0720614665869368,0,0,0,0,0.336633223662528,0,0,0.143559626485524,0,0,0,0,0,0,0,0,0
XMR,0,0,0.0527150017986633,0,0.128902936110377,0,0,0.117917621436526,0.115821825159269,0,0.0443701403887674,0,0,0,0.0229368892312929,0,0,0,0,0
ETC,0,0,0.160101807132384,0,0,0.023815425448491,0,0.079441739737988,0.185992906984763,0,0,0,0,0,0.00936665660195728,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.0028875264234509,0,0.0508399207222978,0,0,0.0592245783286008,0.169628094870387,0,0,0,0,0
XEM,0,0.0283291401947926,-0.0343720479492568,0,0,0,-0.00994713790917394,-0.00000000000000000173472347597681,0.0854931197000516,0,0.112103654378825,0,0,0,0.0410359491068572,0,0,0,0,0
EOS,0,0,0.117498050587699,0,0,0.244300124941398,0,0.176113521258478,0,0,0,0.156674462267191,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,-0.0134327161683383,0.22046702946745,0.257657796480779,0,0,0,0.100740596847817,0.117822406287142,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.00509812059911638,0,0,0.0295884736040075,0,0.0192836794198802,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.000377289700793152,0,0,0,0,0.000125441535628331,0,0,0,0,0,-0.00479521660884227
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
