,BTC,ETH,XRP,BCH,LTC,MIOTA,DASH,ADA,XEM,BTG,XMR,EOS,XLM,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.121559585248453,0.0481565134570939,0.0257647225237569,0,0.0358527733937841,0,0.00657884176815255,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.205677405194915,0,0,0,0,0,0,0.0136581649013081,0,0.0362886176469078,0.137889132374067,0,0,0,0,0
XRP,0,0,0,0,0.0175058877112652,0,0,0.179924993736893,0.105480422054554,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0.0929048853972423,0,0,0,0.152428449352412,-0.0314783497135339,0.058207342153106,0.132795439127575,0,0,-0.0201997296362567,0.383994360847955,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.00672171892327543,0.167593228941532,0,0,0,0,0,0.0743888628995228,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.188778363628757,0.166872225515055,0,0,0,0.0739782827272907,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0432758827307112,0,0,0.0401445541072128,0.0282996871863899,0,0,0,0,0.0558318627329124,0,0,0,0,0,0
ADA,0,0,0.125366454572145,-0.0643294474721076,0.183175693700292,0.0643743419479839,0,0,0.0034751185545109,0,0.0167282305398818,0,0.0349080548232778,0,0.208667196521544,0,0,0,0,0
XEM,0,0,0.027063843948477,0,0.147233259686872,0.0759022592398701,0,0.0910826339119876,0,0,0,0,0.0112433171475292,0,0.0144578576105257,0,0,0,0,0
BTG,0,0,0,0.41804729637676,0,0,0,0,0,0,0,0,0,0,0.0828021061103559,0,0,0,0,0
XMR,0,0,0,0,0,0.0809839874821162,0.175590591223806,0.130139828746617,0,0,0,0.0266240573063134,0.0256652026791516,0.0627003657066403,0.0441077901338975,0,0,0,0,0
EOS,0.0833982692426643,0,0.202278762227859,0.0209440720601103,0.11448592613967,0.173333175751583,0,0,0,0.015839173884893,0,0,0,0.151190991669253,0,0,0,0,0,0
XLM,0,0,0,0,0,0.0791576683014173,0,0.266386191613744,0,-0.0283731671598106,0.321354478558531,0.0725909828093079,0,0,0,0,0,0,0,0
NEO,0,0,0.148882795032229,0,0,0,0,0.0172864090656134,0.0126589571384899,-0.0154696415075364,0,0.0668568443373625,0.0609609372584633,0,0.0656239715291733,0,0,0,0,0
ETC,0,0,0,0.0929567053919535,0.0222029094671107,0,0,0.122666913943463,0.0916280140212978,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00855349468635015,0.0126590476885453,0.00217707663771818,-0.0133189396890796,-0.00476066014888376,0,0.0172725483408841,0.0311970907563672,-0.000000000000000000867361737988404,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000000000000000000000000206795153138257,0,0,-0.0000000896099786752612,0,0.000000000000000000000000206795153138257,0,0.0000000763349434195312,0,0,0,0,0,0,0,-0.0123795060662438
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
