,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00817081497466337,0,0.376240622241316,0.0191760900480098,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0961451844016882,0,0,0,0,0.117967060496455,0,0,0,0,0
XRP,0,0,0,0,0.0501601342246977,0,0.0303836379546096,0,0.0529345303472446,-0.04041144687,0,0,0,0,0.040702941315006
LTC,0.71198300917099,-0.011974032529675,0,0,0,0,0,-0.0280228514512296,0,-0.0266268306080355,0,0,0,0,-0.0300830037487599
XEM,0.469272428090623,0,0,0.032486238852589,0,0.0573564325359811,0,0.14305275401776,0,0.0255851127663258,0,0,0,0,0
DASH,0,0.0560504241303074,0,0,0,0,0,0,0,0.059251537316768,0,0,0,0,0.0662115100953409
DOGE,0.333264678229343,0.0279414184518246,0,0.0275925909153689,0.0381895561683404,0,0,0,0.212909867460913,0,0,0,0,0,0.0274346819167231
XMR,0.168518696249002,0.0617201744075147,0.149569819164915,0,0,0.251256172971759,0.19441422021177,0,0.25667435121424,0,0,0,0,0,-0.0388734272623809
XLM,0.0790458962047209,0.0267957261442098,0,0,0.0895276549356622,0,0.1001068979538,0.0863425945405453,0,0,0,0,0,0,0.00876981590666446
DGB,-0.188137665246274,0.0398732594709699,-0.152909493069313,0,0.182499826196318,0.187564587372526,0.026627342351967,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0896639177775269
CVIX.INDEX,0,0.00000481831188677957,0,0,0,0,0,0,0,-0.0000242610549921507,0,0,0,0,0.117876001394511
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609554940872431
VIX.INDEX,0,0,0,0,0.00000305845177718885,0,0,0,0,0,0,0.575983699330166,0,0,0
