,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.105906906417086,-0.0114118957745206,0,0.0338160529662399,0,0.0572682555911057,0,0,0,0,0
ETH,0,0,-0.0441108992479299,0,0.070157727678696,0.0245300790129159,0.0817223540700514,0,0,0.0731791516724179,0.0590361314222881,-0.00529850694271096,0,0,0,0,0,0
XRP,0,0,0,0,-0.132465136230874,0,0,0,0.445507470476237,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0.107495942439733,0,0,0,0,0,0,0
ETC,0,0.14800916707036,-0.0421785921233854,0,0,0,0,0,0,0,0,-0.0270923497576542,0.301820115882565,0,0,0,0,0
LTC,0,-0.202490394010434,0,0,0,0,0.0569583137768775,0.309913931884705,0.0751613618431831,0,0.0814835576821687,-0.0736868224129083,0.173334252031794,0,0,0,0,0.049119978449616
DASH,0,0.0772196290194191,-0.0768945272097038,0,0,0.0307757434228862,0,0.233595533510911,0.00176081043975488,0.10566281123551,0,0,0.0439146192114631,0,0,0,0,0
XMR,0,0,0,0.103031327542072,0,0,0.274470205749548,0,0.0678798214123589,0,0,0,0.00502756314542962,0,0,0,0,0
XLM,0,0,0.433987725161879,0,0,0,0,0.116286568612355,0,0,0.0479865650106245,0.0381942749899719,0,0,0,0,0,0
ZEC,0,0.253027810471734,0,0.0486106640014094,0,0,0,0,0.00239825615268303,0,0.000000000000000000867361737988404,0.0214990859212354,0.060340896989446,0,0,0,0,0
DOGE,0,0.055491048242336,0.190240587832137,0.0735464076013007,0,0.146969094537151,0,0,0.0397147561613503,0.0688541656970413,0,0,0.0569513051479352,0,0,0,0,0
DGB,0,0,-0.302498217187149,0,-0.386135587471167,-0.0858139624380648,0,0.21777537539382,0.276732524640107,0,0.42082063582112,0,0.0617014147858517,0,0,0,0,-0.449683019781795
NEO,0,0,0,0,0,0,0,0,0,0.148000266350365,0.0387973741213374,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.00353726042726363,0.00159242730792975,0,0,0.00110315415632655,0.0131789426031962,0,0,0,0,-0.0829412034630263
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.0015001418653786,0,0,0,0,0,0,-0.000467089491371518,0,0,-0.00292652393736937,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.0000513633423916311,0,-0.0000202274732915005,0.000156315770244776,0,0,0,0,0,-0.0258918043488021
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
