,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00734149843784588,0,0.116519925989277,0,0,0.144951037833715,0,0.0210992306408911,0,0.0620105101996909,0,0,0,0,0,0,0
ETH,0,0,0.0533649012351197,0,0.0425571920710731,0,0,0,0.228318608694903,0,0.00365400243342084,0.0921471076479951,0,0,0.038202889388086,0,0,0,0,0
XRP,0,0,0,0,0,0.0626826894367902,0,0.144196850496933,0.175866304441806,0,0.0497571705293113,0,0.0370006044518933,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.216407179595061,0,0,0.279062256192278,0.0857005675178631,0,0.067939833178627,0,0,0,0,0
EOS,0,0,0.139099573058135,0,0,0.266733015183003,0,-0.000000000000000000433680868994202,0,0.201831312464659,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.0856100683998069,0,0.0891275704708396,0,0,0.278975195341849,0.0960277433467781,0,0,0,0,0.0721811794353689,0,0,0,0,0,0
LTC,0,0,0.100933001829793,0.0538855944917386,0.039236796256152,0,0,0,0.135292016669368,0.022169308375045,0.023018272162252,0.0287320389640044,0.106288158265593,0,0,0,0,0,0,0
XLM,0,0,0.0741421066966337,0,0.0464790677113942,0.329873460625001,0,0,0,0,0.184007655853074,0,0,0.00951298358261444,0,0,0,0,0,0
MIOTA,0,0,0.0181678427318615,0.245573904820096,0,0.235319158486507,0,0,0,0,0,0.158240419326171,0.059165387756074,0,0,0,0,0,0,0
TRX,0,0,0,0.42388708465481,0,0,0,0.0521714595524111,0,0,0.145592181216158,0,0.0775134117244059,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0613529759347039,0,0,0.252254804273433,0.399622959013222,0.0113607441404391,0,0,0.0454240468502118,0,0,0,0,0,0,0
DASH,0,0,0,0.140429474780565,0.0137065061762517,0,0,0.0251915445773764,0.274193417688363,0.0291491552853421,0.00760828381937708,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.159748116490573,0,0,0.118076460832212,0.169118416386364,0,0,0,0.167392973000087,0,0,0,0,0,0,0,0
XEM,0,0,0,0,-0.0000000000000000000271050543121376,0.0730166341557933,0,0.205173725274564,0.285156762353696,0.0263290662203681,0.0332344142442216,0,0,0,0.0365439894937971,0,0,0,0,0
ETC,0,0,0.0604463766131156,0,0.0975663516370156,0,0,0.192068046741824,0.247458281628766,0.0441209992088979,0.0601747666168384,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.0166212437340328,0,0,0,0,0,0,0,0,0,-0.0399512170766574
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100857547335782
VIX.INDEX,0,0,0,0.00000617646012429561,-0.00000856414083856855,0,0.00000321006769920384,-0.0000000000000000000008470329472543,0,0,0.0000145912032925569,0,0,0,0,0,0,0,-3.87716949485023,0
