,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0860696633158516,0,0,0,0.0944190824582001,0.0306634467999503,0,0.0114953590415189,0.0864152544510575,0,0.0132437905366442,0.0554434842075246,0,0,0,0,0
ETH,0,0,0,-0.00000000000000000173472347597681,0.0549370830143265,0,0,0,0.0399336061207655,0,0.130103391684106,0,0,0,0.1789048595184,0,0,0,0,0
XRP,0,0,0,0.0164659474176724,0.135664141844593,0,0,0,0.117894600890623,0,0.149476586530261,0,0,0,0.0935286928754915,0,0,0,0,0
BCH,0,0,0,0,0.289550884200614,0,0.0837984319746858,0.162934283685708,0,0,0.178707568697396,0,0,0.0578779238026055,0,0,0,0,0,0
EOS,0,0,0,0.0461434410982782,0,0,0,0.0773811006958458,0.174694400730236,0,0.0665676715070188,0,0,0,0,0,0,0,0,-0.0306759291254255
LTC,0,0,0,0.240309618210333,0.0384998331487424,0,0,0,0.0892528825722744,0,0,0.0673366678714966,0,0.031854938316122,0.136309021488659,0,0,0,0,0
XLM,0,0,0,0.0938220386461827,0.0699639177567561,0,0,0.0158596123486126,0.144192910427843,0,0.0523337700555648,0,0,0,0.278237902370876,0,0,0,0,0
ADA,0,0,0,0.202745459731798,0.125472792497634,0,0,0,0.040012407366349,0,0.0634677761501099,0,0,0,0.128238135809629,0,0,0,0,0
MIOTA,0,0,0,0,0.12435244324565,0,0.225025979563241,0.151792331550319,0,0.311882245895513,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.154051902149115,0.0587921181896551,0,0,0,0.243475235594499,0,0.0812783944996696,0,0,0,0.196700655565808,0,0,0,0,0
TRX,0,0,0,0.0630293817437651,0.239220686172214,0,0,0.12588407216989,0.111478765433582,-0.0000000000000000000271050543121376,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.191592503452497,0.116043991512311,0,0,0.0916336884348296,0,0.0613842412752143,0.0382738489739144,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0408594705417353,0,0,0.129854560325132,0,0,0,0,0.0589756419693723,0,0.0731029278778279,0.26674791235628,0,0,0,0,0
ETC,0,0,0,0.347839102804686,0,0,0,0,0.0762848218288429,0,0,0.0743532842764281,0,0,0.0632824886179403,0,0,0,0,0
XEM,0,0,0,0.108994508818171,0.11673608732522,0,0.170756390146376,0.0203075364641472,0,0.283948218836736,0,0,0,0.0182844947382531,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260929929669698
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0.00000373132114942818,0,0,0,-0.000000229775617965911,-0.00000197389869583993,0,-0.00000201383109275365,0,0,0,0,0.0460418234372673,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497085022833222
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
