,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,MIOTA,XEM,DASH,XMR,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.103467059165949,0,0.0165644169223695,0.0295932635669861,0,0.0733773185618435,0,0,0,0,0.0741208577149891,0.0510458719437838,0,0,0,0,0
ETH,0,0,0,0,0,0.0600687773250406,0,0.0922244165663605,0.101491223111431,0,0.136431360715589,0,0,0.153878200064445,0.0275969285888201,0,0,0,0,0
XRP,0,0,0,0,0.0190934593715002,0,0.21431853473988,0,0,0,0.130340551387625,0,0,0,0.125643182787364,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.125331933605238,0.042042813732769,0,0.454739669615546,0.0714626080921787,0,0,0,0,0,0,0
ADA,0,0,0.0892083334344318,0,0,0,0.305903856659177,0,0.0472875945799055,0,0.0660932730343439,0,0,0,0.0648761591708595,0,0,0,0,0
LTC,0.126664863472558,0,0,0.105043569631945,0,0,0,0,0.00825561611760174,0.147560821440636,0.0283456206850589,0,0,0.130685429940827,0,0,0,0,0,0
XLM,0,0,0.0879186344312543,0,0.273420562754121,0,0,0,0,0.0536463565283658,0.168989978668979,0,0,0.101456860383233,0,0,0,0,0,0
NEO,0,0,0,0,0.101456731525295,0,0.135206356254508,0,0,0,0.0970664784159648,0,0.239315822489842,0,0,0,0,0,0,0
EOS,0,0,0.0177819487326529,0.0378290712425967,0,0,0,0,0,0,0,0,0,0.175354535387255,0.129025788974523,0,0,0,0,0
MIOTA,0,0,0,0,0,0.108071125997768,0,0,0.027694469351645,0,0.102123176138691,0,0,0.293454146256275,0,0,0,0,0,0
XEM,0,0,0.0192874024785686,0.0884191703788053,0.12392725691286,0,0.299223412673534,0,0.0626707429779842,0.0176613740672371,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.228448146430012,0.0205140456195299,0,0,0,0,0,0,0,0.0206489230912119,0.0302367649547245,0.092584530205571,0,0,0,0,0
XMR,0,0,0,0.131121018495555,0.019870787454958,0,0,0.082266200785987,0.00683729866805599,0,0.0104512287939438,0.176703079973919,0,0.219891657703227,0.0156362797592807,0,0,0,0,0
ETC,0,0,0.00424540133361262,0.100410536451713,0.0462798758602994,0,0,0,0,0,0,0,0.244083379322889,0,0.054041413872723,0,0,0,0,0
TRX,0,0,0.0774331078010491,0.186405854514276,0,0,0.221095956125311,0,0.0208491035466996,0,0.210289144257284,0.043953552283156,0,0.050493626701235,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00535251565759621,0,0,0,-0.00308353393659681,0.00386055706475377,0,0,0,0,0,0.000164517138886852,0,0,0,0,-0.0441335643817608
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00266115097652202,0,0,0.000761430522659691,-0.00102711416466531,0,0,0,0,0,0,0,0.00304139187362312,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000151758424560739,0,0,0,0.000443917630315263,0,0,0,0,0,0.00122355660536266,0,0,0,0,-0.0455047003587592
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
