,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.119643383668775,0,0,0,0,0,0,0.00328399250957702,0,0.054193215288953,0.0638825483971067,0.245768409595364,0,0,0,0,0
XRP,0,0,0,0.0727057325020968,0.0591863171069078,0,0,0,0,0.188768162016468,0.0281507283263883,0,0,0,0.045696690241273,0,0,0,0,0
ETH,0,0,0,0.103202574264994,0,0,0,0,0,0,0.0134437592308833,0,0,0.0879354986326806,0.500145769880355,0,0,0,0,0
BCH,0,0,0,0,0.0548857202022156,0,0,0,0.108068904228925,0.424051736403707,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.108010324677932,0,0,0,0,0,0,0.253699082442414,0,0,0,0.122130027159316,0.217485921605874,0,0,0,0,0
XLM,0,0,0,0.0977915098937662,0.206172326351004,0,0,0,0,0,0,0,0.0141201558974178,0.0827022195261224,0.265557134819178,0,0,0,0,0
LTC,0,0,0.03447576584906,0.0683636244898494,0.0865243633080695,0,0,0,0,0,0,0,0,0,0.486347180785395,0,0,0,0,0
TRX,0,0,0,0.118703239444983,0,0,0,0,0,0.390795657235029,0,0,0,0,0.0403409835163582,0,0,0,0,0
BSV,0,0,0,0.64066067902958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.0727408275663967,0.190408287110765,0.000681127954530868,0,0,0.0462306930178607,0,0,0.00403190989007575,0,0,0,0.411177060078174,0,0,0,0,0
MIOTA,0,0,0.24058118305988,0.0162787237761183,0.130117374083708,0,0,0,0.0496914331183606,0.0215428023013763,0,0,0.0193115354262471,0.263163389932845,0,0,0,0,0,0
BNB,0,0,0,0,0.0676843340081552,0,0,0,0,0,0.0467331433389146,0,0,0,0.485319616871478,0,0,0,0,0
XMR,0,0,0,0.0666266556827442,0,0,0,0,0,0,0,0,0,0.241345756738483,0.30684130906608,0,0,0,0,0
DASH,0,0,0,0.0525381942442882,0.165565273159968,0,0,0,0,0,0,0,0.124095804620436,0,0.207143442973199,0,0,0,0,0
NEO,0,0,0.331314175655813,0,0.014369163731759,0,0.0172677752926488,0,0,0.0941892496720166,0,0,0.118517676938471,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172156439133758
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.000000529462311532406,0,0,0,0,0,0,0,0,0,0,-0.141596312384934
VIX.INDEX,0,0,0,0,0,0,0,0.00000891982705682689,0,0,0,0,-0.00000128139028919386,0.00000000000000000000000165436122510606,0,0,0,0,-2.33995803632349,0
