,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.674460210508826,0.0161129461846214,-0.00832166870153457,0.0352213787767241,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0990741206102307,0,0,0,0.0285375429191599,0,0,0,0,0
LTC,0.431519631920184,0,0,0,0,0.0139114658075131,0,0,0.00233574944294964,0,0,0,0,0,0
DASH,0.0909173800029485,-0.16926239863516,0,0,0,0,0,-0.167697386643742,0,0.158174002952759,0,0,0,0,0
DOGE,0,0.0641186242680397,0,0.568285046379779,0,0,0.00276598112533598,0.174703749323913,0,0,0,0,0,0,0.0554322825747768
XMR,0,0,0,0,0,0,0,0.210422227169765,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0.190031748010693,0,0,0.0412946278763489,0.0621733994457327,0,0,0,0,0
XEM,0,-0.0837571638565142,0,0.598433819395814,0.288037391748571,0,0,0.198118466265233,0,0.104646239134311,0,0,0,0,0
DGB,0,0.00000000000000000346944695195361,0.246489332516734,0,0.281440168638046,0,0,0.201803353267778,0.0294863469359736,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.00133875598810439,0,0,0,0,-0.0232234186414445,0,0,-0.0512197935294218
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469874734397012
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000169456191477037,0,0,0,0,-0.123848808867362
VIX.INDEX,0,0,0,0,0.0153916934381157,0.0839782913315426,0,0.0210530999295024,0.0110211121490102,0.0608344963912552,0,0,0,-1.33818480875225,0
