,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.051065686461866,0.0646720570269247,0,0,0,0.0222767634677551,0.0997961033494553,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.152782544970957,0,0.0114175774061183,0,0,0,0,0.0010100863701239,0,0.287183791746707,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0357821282946664,0,0,0,0,0.283847175801527,0,0,0.11270119236755,0,0,0,0,0,0,0
BCH,0,0,0.0900858924296992,0,0.249761431280583,0,0,0.0803190502534628,0,0.0463318790988705,0,0.0595538670027291,0.0127397423541734,0,0,0,0,0,0,0
EOS,0,0,0,0.0146340601545397,0,0,0,0.0280471562133757,0,0.0870056334766683,0,0.30398157025747,0.107142972100976,0,0,0,0,0,0,0
XLM,0,0,0.0585605601806461,0,0,0,0,0.293991510998237,0,0.0158584554675638,0.0299278659523045,0,0.142069351402852,0,0,0,0,0,0,0
LTC,0,0,0,0.0339230093049122,0,0,0,0.152848035571571,0,0.135844504900983,0,0,0.035115803526018,0,0,0,0,0,0,0
ADA,0,0,0.0747172459462644,0,0.115087607080081,0,0,0,0,0,0.0157132993036152,0.287930285190009,0.168184499706451,0,0,0,0,0,0,0
XMR,0,0.0735105067053612,0.118856282163393,0.0472852348212972,0,0,0,0,0,0.0941873207362464,0.091667293925178,0,0.119292242469027,0,0,0,0,0,0,0
MIOTA,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0,0.474975835755241,0.449607637804185,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0181390211098192,0,0,0,0.0884969741251222,0.152482081094283,0,0,0.260897119182056,0,0,0,0,0,0,0
TRX,0,0,0.0948791163923452,0,0.120747844582192,0,0,0.178492058156325,0,0.140768314865564,0,0,0.194594109612074,0,0,0,0,0,0,0
NEO,0,0,0.051819635337638,0,0.0487046674060186,0,0,0,0,0.271324048486613,0,0.217786588292565,0,0,0,0,0,0,0,0
ETC,0,0.179643416649683,0.00343809799394412,0,0.114257080848804,0,0,0.0243552302603638,0,0.199430858134768,0,0,0,0,0,0,0,0,0,0
BNB,0,0.0586322102001355,0.0106623752664549,0,0.0798659736644658,0,0,0.00990636086814859,0,0.0560376951194823,0,0.0183570675638973,0.144988593016507,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0271342011956729,0,0,-0.00890339669197232,-0.0280840028495726,0,-0.0273185870450004,0,0,0,0,0,0.017325920728912,0,0,0,0,-0.0402035433607551
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00258766233438519,0,0,0,0,0,0,0.000394097923712086,0.000353067358438787,0,0,0,0,0,0.0620615899345957,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460487659739717
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
