,BTC,ETH,XRP,BCH,BSV,EOS,LTC,BNB,XTZ,ADA,XMR,TRX,XLM,LINK,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.120538372789232,0.0318618888812669,0,0.114013865599114,0,0,0,0,0,0,0.0497910390972913,0,0,0,0,0,0
ETH,0,0,0,0.170775235949984,0,0.119585653609797,0.00599359219736793,0.134085620852019,0,0.0413394822019392,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0947766543867859,0.0324727339330278,0,0.0710428108572118,0,0,0.0552673959804582,0,0.207356139672549,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.241102271055289,0.0430479003289966,0.129468271943738,0,0,0,0,0.0735850527341855,0,0,0.0774190482307869,0,0,0,0,0
BSV,0,0,0,0.514398823647498,0,0.206791408190583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.144262801577033,0.113090830018835,0,0.0849486752594509,0,0,0.0360607586218305,0.0208201280171288,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.252078660363199,0.0342958164189959,0.290431177642028,0,0,0,0,0,0,0,0.0229483683080394,0,0,0,0,0,0
BNB,0,0,0,0.149910636444184,0.0034721207141815,0.0918401480356014,0,0,0,0,0,0.188222412353031,0,0.0190655164354986,0,0,0,0,0,0
XTZ,0,0,0.12388373220671,0,0,0,0,0,0,0,0.0812514385466374,0,0,0.228048008008681,0,0,0,0,0,0
ADA,0,0,0,0.0149366955414696,0.011755778345774,0.201992914201062,0,0,0,0,0.0279682901538543,0.217873630031666,0,0.0252163984759664,0.0955014726906935,0,0,0,0,0
XMR,0,0,0,0.0680700005422134,0,0,0.161551659185718,0,0,0.162070572325578,0,0,0,0.00000000000000000010842021724855,0.0685754275066777,0,0,0,0,0
TRX,0,0,0.0379723441400524,0.19045838530607,0.0264452954357686,0,0,0,0,0.115710041938136,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.438063411304842,0.0194117727743528,0,0,0,0,0,0,0,0,0,0.156094983853551,0,0,0,0,0,-0.0484307112741864
LINK,0,0.193628028862802,0,0,0,0,0.234960607057966,0,0.088409203639258,0.0642743119239375,0,0,0.166823759412779,0,0.0148109517898305,0,0,0,0,0
ETC,0,0,0,0.507000878866426,0.0663074376161947,0,0,0,0,0.0612871348389899,0,0,0,0,0,0,0,0,0,0.0375495171221879
BV010082.INDEX,0,0,0,0,0,0,-0.0000000000000000711236625150491,0,0,0,0,0,0,0,0,0,0,0,0,-0.0857547336702768
CVIX.INDEX,0,0,0,0,0.00590038506613489,0,0,0,0.00401106140166341,0,0,0,-0.00314464603140838,0,0,0,0,0,0,0.155083216807578
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00324039110134568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632614645051126
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
