,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0116392204302418,0.0174793782155461,0,0.137487946889199,0.0434199076602847,0.0726116519062485,0,0.126109074746506,0,0,0.0293179548383716,0,0,0,0,0,0
ETH,0,0,0,0,0.0805495944924628,0,0,0,0.0933627553323124,0,0,0,0,0.0514853421293218,0,0,0,0,0,0
XRP,0,0,0,-0.0000000000000000000016940658945086,0.152662504718368,0,0,0,0,0.109182586334014,0,0,0,0.198427183292649,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.290041091018935,0.0508609175012891,0.0243707033902132,0,0.241612674092138,0.0111306633763713,0,0.0752526018724567,0,0,0,0,0,0
LTC,0,0,0,0.000000000000000000216840434497101,0,0,0,0,0,0,0.633071323404614,0,0,0.000181543176373882,0,0,0,0,0,0
DASH,0,0,0,0.0392827026206089,0,0,0.138957210090762,0,0.0512031372086774,0,0,0.133813807816946,0,0,0,0,0,0,0,0
XEM,0,0.537557700517557,0,0.057679360868456,0,0,0,0,0.0604794190125284,0.0448820211780886,0,0,0,0.0326406976656459,0,0,0,0,0,0
NEO,0.347686152103602,0,0,0,0,0,0.523833322597855,0,0,-0.0710983774656021,0,0,0,0.0392040505680737,0,0,0,0,0,-0.111218726921985
MIOTA,0.447959403005899,0,0,0,0,0.230881620415943,0.109898869331767,0.061414498093707,0,0,0,0,0,0,0.0997213865412535,0,0,0,0,0
XMR,0,0,0.128979726391466,0.0151361469978692,0,0,0.0394578580502004,0.0127889789619958,0.0276015848720734,0,0,0.186224841568181,0,0.0810792003020974,0,0,0,0,0,0
ETC,0,0,0,0,0.323366034146236,0,0,0,0,0,0,0.00552365884497468,0,0.0293146529929125,0.0241189711848789,0,0,0,0,0
ZEC,0,0,0,0,0,0.0875853600601125,0.0726308561596402,0,0.0258190095823296,0,0.102869776683262,0,0,0.161963409191608,0.196972547759184,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.168872687502294,0.378612044214783,0,0,0,0,0,0,0.100019025870309,0.27077772591463,0.15736919241074,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.129325913165749,0,0,0.0602810683512933,0.0264699033954602,0,0,0.0625762349582417,0,0.0422080204519068,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00603390808049117,0,0,0,0,0,0,0,0,0,0,0.00261060911067378,0,0,0,0,-0.0333204105860795
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,-0.00718050770067591,0,0,0,-0.000864099456739186,0,0,0,0,0.00261031022767034,0,0,0,0,0
SPX.INDEX,0,0,0,-0.000000845997515735118,0,0,0,0,0,-0.00000150854979265244,0,0,0,0,0,0,0,0,0,-0.0355147873455605
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
