,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,XMR,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0566663510428849,0,0,0.164237553318628,0,0,0,0,0,0.0424507904992062,0.0634404628279802,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.195228509624786,0,0.0227249417727834,0,0,0.132270356144646,0.0472503179904335,0.039441550863688,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.257740915423343,0,0,0,0,0,0,0,0,0,0,0.0710711728357591,0.0472978557091565,0,0,0,0,0,0
LTC,0,0.0806979035896406,0,0,0,0,0,0.0127045812655286,0,0.295594155978683,0,0.0392035723551817,0.00782711935005627,0,0.00344818135330635,0,0,0,0,0
XEM,0,0.0909492318100316,0.0884407624037567,0,0,0,0,0.102814258021086,0,0,0.0352006888382128,0,0.0827852114218956,0,0.183720537282014,0,0,0,0,0
DASH,0,0,0,0,0,0.0179836023329833,0,0.123844947047282,0,0,0,0.10579175435839,0,0.0472240393608246,0.059389355144772,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0.12143073490908,0.493736163918591,0,0,0.0441489385334547,0,0,0,0,0
XMR,0,0,0,0.07501208081941,0,0,0,0.00780130230857782,0,0,0,0.0620219759112546,0.244075554340478,0.0657622897111581,0,0,0,0,0,0
ETC,0,0.216865552121315,0,0,0.0120307212126426,0,0,0,0.0172441337446784,0,0,0.0103152163086159,0.0609648376388615,0.0595774091008564,0.0198808754336176,0,0,0,0,0
NEO,0,0,0,0,0,0.14856926561266,0,0.124277210622365,-0.151633725935486,0,0,0,0,0.510733093645829,0,0,0,0,0,-0.0525133300123446
ZEC,0,0.0599883132347114,0,0,0,0,0,0.16745129599803,0,0,0,0,0.032830866669629,0.100541170731706,0,0,0,0,0,0
XLM,0,0,0,0.186666885001339,0,0.17432011143721,0,0,0.282095826429488,0.15077109710857,0,0,0,0,0.087021319045076,0,0,0,0,0
EOS,0,0.0474507779517126,0,0,0,0.0521172772692703,0,0.118211910054052,0,0.0702164240937943,0.0262542840084608,0.0188341737439161,0.0945059431401923,0,0.0509569709854534,0,0,0,0,0
BAT,0,0.265691382453277,0,0,0,0,0,0,0,0.059924488471571,0.162570748413867,0,0.0728936035594505,0.150840707984858,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00544602986223441
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0.00577034201547102,0,0,0,0,0,0,0,0,0,0.0125285701150684
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397022293457947
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
