,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0824122215886257,0.132948978911649,0.0285941535312742,0,0,0,0.0973104883298946,0,0,0,0,0
XRP,0,0,0.0443501027207364,0,0.129987706610714,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.136983615409531,0,0,0.0776365742265001,0,0,0,0,0,0.127034917628723
DASH,0,0.0837525206197316,0.0714179962245748,0,0.156732677749777,0,0,0,0,0,0,0,0,0
DOGE,0,0,0.106490611934013,0.229422240734274,0,0.174040094361366,0,0,0,0,0,0,0,0
XLM,0,0.188343054803727,0,0,0.277603597736992,0,0,0,0.0314960473298648,0,0,0,0,0
XMR,0,0,-0.0397945063778972,0,0,0.0963294032217364,0,0,0.277509674542629,0,0,0,0,0
XEM,0,0,0,0,0.217446278848516,0,0,0,0,0,0,0,0,0
DGB,0.126509952356566,0,0,0,0.0533195952745578,0,0.372523991747993,0.0661105942498722,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0534671293816799
CVIX.INDEX,0,0,0.0000127611122711216,0,0,0,0,0,0,0,0,0,0,0.0686885861603725
DXY.INDEX,0,0,-0.0000000147164713544344,0,0,0,0,0,0,0,0,0,0,-0.0153233751154056
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069996260662404
VIX.INDEX,0,0,0.000058805722159615,0,0,0,0,0.000453255576616574,0,-0.0995840023663369,0.191487025014151,0,-3.04245756969755,0
