,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,LINK,XLM,TRX,XMR,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0949595160169507,0.0340394457283067,0.126200645284804,0,0,0,0.0367703700696414,0.0273837590171912,0,-0.00000000000000000173472347597681,0.00299958887143939,0,0,0,0,0,0
ETH,0,0,0,0.111499812686324,0.030500116479463,0,0,0,0,0.0556840497861503,0,0,0.226189045855616,0.0539514889417226,0,0,0,0,0,0
XRP,0,0,0,0.0841789653714208,0.0276156753888694,0.00678220387236156,0.0777230261664257,0,0,0.0819145288769412,0,0,0.196646232470698,0,0,0,0,0,0,0
BCH,0,0,0,0,0.260279744052049,0.00988579305324034,0,0,0,0,0,0,0.296671371090278,0,0,0,0,0,0,0
BSV,0,0,0,0.493118510448482,0,0,0.2916150595466,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.293825178271453,0.063534012677749,0,0.0217636491479278,0,0,0.0410889521536993,0.0977736586451166,0,0.0481794132408877,0,0,0,0,0,0,0
EOS,0,0,0,0.153227714019799,0.127922843445399,0,0,0,0,0.0712750672342947,0,0,0,0.0675288128658299,0,0,0,0,0,0
BNB,0,0.0315657358891285,0,0.147204346107532,0.00664138935732444,0,0.0326903917498492,0,0,0,0,0,0.234272548050241,0,0,0,0,0,0,0
XTZ,0,0.032250529644603,0,0,0,0,0.0145786804360221,0,0,0,0.317118684270547,0,0,0.055607402046613,0,0,0,0,0,0
ADA,0,0.0580641857752511,0.0859439732809691,0.00655034359367949,0.00000000000000000346944695195361,0.09270692217041,0.103644746752299,0,0,0,0,0,0.295568764814162,0.0783973716466791,0,0,0,0,0,0
LINK,0,0,0,0,0.0176946009367008,0.245206727725837,0,0,0.145883206271223,0.0695924232900937,0,0.199341057593039,0.0357425015902254,0,0,0,0,0,0,0
XLM,0,0,0.406074306818149,0,0,0,0,0,0.0143921905565087,0,0.111632895319238,0,0.0614437668244539,0,0,0,0,0,0,-0.0314733511808113
TRX,0,0,0.068191853325299,0.170805389559409,0.014334488117863,0,0.0562186669945562,0,0,0.184616279742549,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.122838754649466,0,0.0787371446585741,0,0,0,0.200857949753918,0.0730879478987085,0,0,0,0,0,0,0,0,0
HT,0,0,0,0,0.0150740934042713,0.0527484622163374,0,0.169285486398736,0,0.0349614824540084,0.145944068643597,0,0,0.0605519567608295,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00252157901834027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0722770533431581
CVIX.INDEX,0,0,0,0,0.00536243121290785,0,0,0,0.0000712163895614408,0,0.00720286369248546,-0.00870686454013385,0,0,0,0,0,0,0,0.134925893822398
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.0028720957317059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0634016944675225
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
