,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.421343628402547,0.000849213746617,0,0.0403901847276202,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,-0.0922563807505525,0,0.0442824759408252,0.179023316836743,0,0,0.140786530819855,0,-0.155916702042029,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.566111169345144,0,0,0,0,0,0.00368968555583421,0,0,0,0,0,0,0,0,0.00000000000000000010842021724855
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0.109737135634985,0.0560583222891875,0.0877367150464649,0.0935107824604779,-0.00869265771932646,0,-0.0386806701095373,0,0,0.0140774468732417,0.0533752834248046,0,0,0,0,0
XEM,0.489734664750159,-0.000000000000000000433680868994202,0,-0.00000000000000000173472347597681,-0.0187258244536989,0,0,0,0,0.34891451289795,0.0280474952615642,0,0,0,0,0
DOGE,0.330757247053009,0,0,0,-0.00986454817834832,0,0.0283924978998402,0,0,0,0.0337376926437974,0,0,0,0,0.0314794647256025
XMR,0.421891518812592,0,0,0,-0.00860055946997863,0,-0.0197661701639105,0.187026991358362,0,-0.0243469313243254,0,0,0,0,0,0
XLM,0.0645691948988585,0,0,0,0.00000000000000000010842021724855,0,0.181771613479165,0.166991608450961,0,0,-0.00974495641227965,0,0,0,0,0
DGB,0,0.141814084339199,0,0,0,0,0.0847223920132537,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00242960898549199,0,0,0,0,0,0,0,0,0,0,-0.0624650585360372
CVIX.INDEX,0,-0.0000221315872671639,0,0,-0.0181960355887396,0,0.00000116728102403914,0,0,0,0,0,0,0,0,0.231255664137183
DXY.INDEX,0,0,0,0,-0.000419533587068464,0,0.000000134190211784655,0,0,0,0,0,0.0356992549547763,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.000000996683593248485,0,0,0,0,0,0,0,0,-0.0457015997009789
VIX.INDEX,0,0,0,0,0.0503680798860055,0,0.000247474250082827,0,0,0.0000000000000000000008470329472543,0,0,0.402849820375296,0,0,0
