,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,TRX,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00150707670819799,0,0.0411202571380811,0,0,0.0282181390872464,0.00325593519567909,0.115188532370597,0.159923677309731,0.233837075757001,0,0,0,0,0,0,0
ETH,0,0,0,0,0.197108220678187,0.082536615533457,0,0,0,0,0,0.0344158924416817,0.131664360732178,0.0195993641367574,0,0,0,0,0,0
XRP,0,0,0,0,0,0.015629841557912,0.0674879189935089,0.148245171482551,0,0,0.014741281174273,0.198648591341814,0,0.0489929358488256,0.174765649833851,0,0,0,0,0
BCH,0,0,0,0,0.182323988810534,0,0,0,0.0532193022877205,0.121963471429203,0,0.0221629479617684,0,0,-0.00000000000000000346944695195361,0,0,0,0,0
LTC,0,0,0,0.193106277930914,0,0,0.0136371995969969,0,0,0,0.0173747625128938,0.201683685868549,0.0366908116408662,0.0131660622779008,0.14703681708617,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0.134150689138874,0.186492659098501,0,0,0.250035692647746,0,0,0,0,0
ADA,0,0,0.13063628077311,0,0,0.151939854707082,0,0.262371093652758,0,0,0.062632294699645,0.0508282597333832,0,0.068153791508919,0,0,0,0,0,0
XLM,0,0,0.128386430262068,0,0,0,0.282837414364537,0,0,0,0.134739653605139,0.0351670133944951,0,0.0359552754337208,0.058976175300656,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.0529762202733184,0,0.231159726931694,0,0.284341933981194,0,0,0.102880383468875,0,0,0,0,0
MIOTA,0,0,0,0,0.168597350210475,0,0.00678568537190672,0,0.164362021609505,0,0.125185643232706,0.239639851664799,0,0,0.123359386499009,0,0,0,0,0
TRX,0,0,0,0.163494979029322,0,0.103779517081563,0,0,0.110127232875879,0.286521993631723,0,0.122267828565186,0,0.151055255143841,0,0,0,0,0,0.0554955573105004
XMR,0,0,0,0,0.165535394037986,0,0,0,0.205275924191412,0.128054865562427,0.0137815793060526,0,0.216912985437436,0,0,0,0,0,0,0
DASH,0,0,0.103813440942479,0,0.0599002125468415,0.0149281198282338,0.0309091461511882,0.0692981088950464,0,0,0.0626348508785109,0.135553905326741,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0348798088405453,0.175825145457347,0,0,0,0.310385214646253,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.118005888361037,0,0.272278219309625,0,0,0.155038996936263,0,0.0823283406627676,0,0,0.0637654601434852,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0403374125407049,0.0664461148991757,0,0,0,0,-0.00692365203346528,0,-0.0243290071873167,0,0,-0.0062134487672138,0,0,0,0,0,-0.0382089278395569
CVIX.INDEX,0,0,0,0,0,0,0,0.00000289018222672164,0,0,0,0,0,0,0,0,0,0,0,0.0369855820783657
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522853628437853
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.000000216182429843195,0,0,0,0,0,0,0,0,-0.0625741344207528
VIX.INDEX,0,0,0,-0.000027721102563985,0,-0.000025455564670983,0,0,-0.0000211278489716635,0,0.0000912458722881523,0,0,0,0,0,0,0,-2.99541347132469,0
