,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ETC,ADA,TRX,XLM,XMR,DASH,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.107966963262108,0.0125324255229505,0.119939562471777,0.0254879931265002,0,0,0.0570689679240321,0.0616856291786591,0,0,0.0123774465827873,0,0,0,0,0,0
ETH,0,0,0,0.126658832387942,0.0362020374192904,0,0.0451327921913287,0,0,0.0725347430089839,0,0,0,0.0464546992584886,0,0,0,0,0,0
XRP,0,0,0,0.125779574963302,0.0435095089933986,0,0,0,0,0.0996919887769611,0.0828066794255497,0,0,0.0186086636655449,0,0,0,0,0,0
BCH,0,0,0,0,0.256038311466176,0.0236308121582874,0,0,0.104142463989841,0,0,0,0,0.0810891402940786,0,0,0,0,0,0
BSV,0,0,0,0.462560791598768,0,0,0.251047571173134,0,0.0296280973644115,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.268659959193572,0.0322740574319309,0,0.249259055959032,0,0,0,0,0,0,0.035455759534152,0,0,0,0,0,0
EOS,0,0,0,0.13986056156659,0.11794657125012,0,0,0,0,0.0296331130460072,0.0137381386722129,0,0,0.0412942412622382,0,0,0,0,0,0
BNB,0,0,0,0.0873929271745555,0,0,0.0557228875797031,0,0,0.142539743199752,0.0300813313060563,0,0,0.137175387945464,0,0,0,0,0,0
ETC,0,0,0,0.261729759674649,0,0,0,0,0,0,0,0,0,0.335656028157293,0,0,0,0,0,0
ADA,0,0,0.0210193380114436,0,0.0210889151833247,0,0.181900568015149,0,0.0811952851687738,0,0.249247011321704,0.10770324040846,0,0.00689861899425072,0,0,0,0,0,0
TRX,0,0,0.150752551544091,0.0594227484175515,0.0322522172216304,0.0755782328237235,0,0.0145568324792587,0.0538746091233148,0.178956742314095,0,0,0,0.0477205669812921,0,0,0,0,0,0
XLM,0,0,0,0.0527510359240242,0,0,0,0,0,0.230885592234672,0,0,0,0.125460231896033,0.0211082637482237,0,0,0,0,0
XMR,0,0,0,0.0210007096638184,0,0,0,0.17436751651428,0.0438696469487612,0.0669783396937628,0,0,0,0.16483118204929,0,0,0,0,0,-0.0402171805228736
DASH,0,0,0,0,0.178829667457708,0,0,0.255460919606217,0,0,0,0.278119359208486,0.493969776864455,0,0.0232090897376429,0,-0.139909079138697,0,0,0
XTZ,0,0,0.179399959367896,0.00986082572002575,0,0,0.0451493047423216,0,0,0.0246252738903252,0,0,0,0.024031559811291,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068034858612108
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00285389692487578,0,0,0,0,0,0,0,0,-0.00104179477118408,0,0,0,0,0,-0.0556799055234549
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
