,BTC,ETH,XRP,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0530256753337033,0.210215853706774,0.535545725897149,0,0.0256035530155688,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.435239324236679,0,0,0,-0.13200396495721,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0867181594835058,0,0,0,0,0,0,0,0,0
XEM,0,0,0,-0.0466142982858555,0,0.0780843630603331,0,0,0,-0.0999227907839462,0,0,0.254525796537553,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.0706649051985799,0,0,0.0537697025249427,0,0,0,0,0,0
ETC,0,0.378866657701007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.328155489179694,0,0,0.0624713070405539,0,0,0,0.00960264903677508,0,0,0,0.0103294652652339,0,0,0,0,0
XLM,0,0,0.416315226908061,0.0354797415603594,0,0,0,0,0,0.0633731485714795,0,0,0,0,0,0,0,0
DOGE,0,0,0.168339061467025,0.0825749005917018,0,0,0,0,0.149887628810661,0,0,0,0.0283456217209506,0,0,0,0,0
ZEC,0,0.0923313668935676,0.0240489815740727,0,0.124977334465143,0.0568249933795102,0,0,0,0.0482939442837719,0,0.10433493712505,0,0,0,0,0,0
NEO,-0.0942154366932809,0,0,-0.0719396469772313,-0.0349618638879173,0.0154808511568996,0,0,0.000000000000000000216840434497101,0.051561359976905,0.393911501780751,0,0,0,0,0,0,0
DGB,0,0,-0.24087485168033,-0.0939040087228263,0.176687362825,-0.00000000000000000693889390390723,-0.0110412052325531,0,0.4080211804907,0.249108820715703,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.000589326810806708,0,0,0,0.0136663451720417,0,0,0,0,0,-0.0284491486857731,0,0,-0.0992773754775369
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.000000121947532834163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0204741130030386
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
