,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00596770442405725,0,0.604663065906588,0,0,0.0182523404597393,0,0.0143921287971371,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.239776010589215,-0.310198334201659,0,0,0,0,0,0,0
XRP,0.0381028740585544,0,0,0,0,0.0985160245592902,0,0,0,0.0271938609741985,0,0,0,0,0
LTC,0.459108185242237,-0.00452771535008406,0,0,0,0.0168777956513723,0,0.01022149090232,0.00222757713441182,0.00156593371930391,0,0,0,0,0
DASH,0,-0.129959721051222,0,0,0,0,0.136889972105216,-0.388582884237686,0,0.21681060979281,0,0,0,0,0.17462374556342
DOGE,0,0.0846941567816547,0.0290369379899279,0.604704580289412,0,0,0,0.189467859165411,-0.0504964590314436,0.0196053938311665,0,0,0,0,0
XMR,0.328370211954,0.141588766138355,0,0,0,0.0282775135446014,0,0.048064076502753,-0.042628448418395,0,0,0,0,0,0
XLM,0,-0.00580971948037915,0,0,-0.0530186260901029,0.180270650406289,0,0,0.134998171668074,0.0479760298235549,0,0,0,0,0.0780722343814197
XEM,0,0,0,0,0.24794982148924,0,0,0.261339975627255,0,0.122564347070442,0,0,0,0,0
DGB,0.243204352247121,0.027824149534193,0.270276090423121,0,0.0606933621549848,0,0,0.0348547256631581,0.0526022725503823,0,0,0,0,0,0.205641684640406
BV010082.INDEX,0,-0.000120295018869485,0,0,0,0,0.00102772930592656,0.00100695522347495,-0.000169104601787012,-0.00185620028126788,0,-0.0319507089085549,0,0,-0.0972001135310301
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0.00000438176928266646,0,0,0,0,0.0937300185297323
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000807970970338638,0,0,0,0,-0.139511630780981
VIX.INDEX,0,0,0,0,0.00295893067901314,0.0126232781243892,0,0,-0.00138188666474063,0.054836421389221,0,0,0,-2.57375236634556,0
