,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.207430443245261,0,0,0.119393201785926,0,0.0709876671777792,0.020015308486684,0,0,0.0427868123271663,0,0,0.00553914949373823,0.0136997779966948,0,0,0,0,0
ETH,0,0,0.0497024661003198,0,0.172841820833118,0,0.0280727037260171,0.0222172125695,0,0.105433916420778,0,0,0.0225962908969155,0.00374732714294047,0,0,0,0,0,0
XRP,0,0.036445206648274,0,0,0,0,0.17092594088246,0.0398925424356935,0.0487829782321946,0.100787493059502,0,0,0,0.042204064622629,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.152274044558361,0,0.0167381056649684,0.257451175556072,0,0,0.00883748657623898,0,0,0,0,0,0
LTC,0,0.0000000000000000000271050543121376,0,0,0,0,0.0976552084898421,0,0.043078644297536,0,0.655410407465707,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0176909146321457,0,0.0973081910302199,0.0211101728621014,0,0.0691059329344003,0,0,0.11120304468274,0,0,0,0,0,0,0
XEM,0,0.277198613515909,0,0,0.0617527488734605,0,0,0.0199792646188465,0,0.129703096064856,0,0,0,0.0418847418714937,0,0,0,0,0,0
NEO,0,0.248299520743185,0,0.492740328144947,0,0,0.00000000000000000693889390390723,0,0,0,0,0,0,0.0674545768642771,0.050020320169442,0,0,0,0,0
XMR,0,0,0.0120127485861935,0,0.10093920571561,0,0,0.019009444602086,0,0.0464597711646354,0,0,0.207738026581432,0.02311409114589,0.0035855451386426,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0690639098575277,0.113871735789893,0,0.133405186954905,0,0,0,0.0479397981500484,0.0517854008921941,0.22477104722384,0,0,0,0,0
ETC,0,0,0,0.0556237789765299,0.351032181630979,0,0,0,0,0.102801496208813,0,0,0.0303020953489981,0.00203020119253757,-0.000000000000000000433680868994202,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0.0189471894996968,0,0,0.0745654849634851,0.0226081116510476,0.0797183503090326,0.0832418131658293,0.169030524665373,0,0,0,0.195226067331041,0,0,0,0,0
XLM,0,0,0,0,0,0,0.322232277835618,0.106268218942589,0.0120737453202142,0.183941900834815,0.249002446686661,0,0.139919631736548,0,0,0,0,0,0,0
EOS,0,0,0.0101013891426035,0,0.114152960605901,0,0.0585116783699319,0.0953182545636453,0,0.0322240054039182,0,0,0.179222141526685,0.0048457759340106,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0166206252162514,0,0.00000000000000000010842021724855,0,0,0,0,0,0,0,0.00954046109911698,0,0,0,0,-0.0386496856439483
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.007607164115017,0,0,0,-0.00631925276884366,-0.0140199397186349,0,0,0,0.0014048475252252,0,-0.00242440873487942,0,0,0.00726720305919662,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.00125500819629402,0,0,0,-0.000286664916590537,0,0,0,0,0,0,-0.0252461828438391
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
