,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0155275990104381,0,0,0,0.0849060734737416,0.0113844940006458,0.124600714462279,0.229323011560006,0,0.0587299887934607,0.0536508614257605,0.0360930236738831,0,0,0,0,0
ETH,0,0,0.0150434206125326,0.102476175142319,0,0,0,0.122082820787681,0.111660349022542,0,0.10933878211187,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0963378307189636,0.0512356392950258,0,0,0,0,0,0,0.322162699247729,0.0949805959218187,0,0,0,0,0
BCH,0,0,0,0,0.187037987854064,0,0,0.0286339249378136,0.167344681089921,0,0.0278788776192757,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.132806043314104,0,0.0280474385281522,0,0,0,0,0.179266997372541,0,0.0109531168478709,0.102872717103374,0.120380455306717,0,0,0,0,0
ADA,0,0,0.158865415471909,0,0.00000000000000000173472347597681,0,0.270754161249464,0,0.146128652334774,0,0.0522812545189245,0,0.0661462425675319,0.0304622161797362,0,0,0,0,0,0
XLM,0,0,0.114005223654146,0,0,0.281551163043994,0,0,0.0646793741352456,0,0,0,0,0.160654886270213,0.0374047026296319,0,0,0,0,0
NEO,0,0,0,0,0,0,0.091536248349311,0,0.141443661018428,0.324451433398777,0,0,0,0,0.000262870755769279,0,0,0,0,0
EOS,0,0,0,0.0657827122282816,0,0,0.101782867110409,0,0,0,0.191895285373701,0,0.0164328352927429,0,0.247782459695493,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.0309780455730168,0,0,0.38934986864677,0,0,0.137021718349218,0.0700274996075069,0,0,0,0,0
XMR,0,0,0,0,0.112809409629116,0,0,0.199679258106241,0,0.0352011786065494,0,0.515065929071089,0,0,0,0,0,0,0,0
DASH,0,0,0,0.199198499293255,0,-0.00000000000000000346944695195361,0.114208088661251,0,-0.000000000000000000216840434497101,0,0.141987378477066,0,0,0.127119719360023,0,0,0,0,0,0
XEM,0,0,0,0,0,0.126081981884426,0,0,0.0929515835084525,0,0,0,0,0.298368311118564,0,0,0,0,0,0
TRX,0,0,0.372905213863024,0.114489726880041,0,0,0,0.148653632617076,0.00233572031113605,0.117066944220106,0.0917584093033084,0,0.079025050583192,0,0,0,0,0,0,0.0212789946555583
ETC,0,0,0,0,0,0,0,0.244883068782918,0.265761701282342,0,0,0,0,0.138450871019431,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0241016117824803,0.0461515879107817,0,-0.00333973680260741,0,-0.0260300646652268,0,0,0,0,-0.00806970812739882,0.0146658682821067,0,0,0,0,0,-0.0402765089724093
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369871966480868
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034299458903828
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544653561448163
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
