,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.112837591894492,0,0.0501883536146766,0.0320818928791341,0.0818667291812778,0,0,0,0.00077391865955018,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.178323497049808,0.107502905685965,0.093440333677548,0,0,0,0.239538767489624,0,0,0.0241399611547102,0,0,0,0,0,0,0
XRP,0,0.107380175972437,0,0.0782782461286192,0,0.0676352400492787,0,0,0,0.15451004313018,0,0.0269471095631814,0,0,0,0,0,0,0,0
EOS,0,0.189758043878065,0,0,0.180984587317279,0.0190829752477763,0,0,0,0.322523387718138,0,0,0,0,0,0,0,0,0,0
LTC,0,0.206428903398894,0,0.25542174335303,0,0.0761072022535053,0,0,0.0727406352232693,0.0949594877869385,0,0,0,0,0,0,0,0,0,0
BCH,0,0.09911332020723,0,0.114026290831442,0.240091804607183,0,0,0.0323549903943031,0,0,0.31725014789329,0,0,0,0,0,0,0,0,0
XLM,0,0.220480797891097,0,0.0157892307551293,0.128439367954175,0.144126615268074,0,0,0,0,0,0.0265993007622697,0,0.00256401008689344,0,0,0,0,0,0
TRX,0,0,0,0,0,0.235656355114121,0.269789730064426,0,0.0147248469760177,0.327164515185978,0,0,0,-0.213952696676874,0,0,0,0,0,0.0113117573283431
BNB,0,0.0471132110429397,0,0.0996317473117502,0.22264359828156,0,0,0.218033957941449,0,0,0,0.133983172985865,0,0,0,0,0,0,0,0
ADA,0,0.277160340217459,0,0.191238341742985,0.156416230013287,0.0391792526444836,0,0.00217657342116657,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0,0.0321529852735517,0,0,0,0.498627705937906,0,0,0,0,0,0,0,0.0358344735261671,0,0,0,0,0,0
XMR,0,0.260190772083177,0,0.147811999640031,0.00498538069971966,0.00369987141203977,0,0,0.0470833750346942,0,0,0,0,0.239542265813087,0,0,0,0,0,0
MIOTA,0,0.0601748866899248,0,0.363813259857721,0.0583394671199928,0.0654195616775636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.309336521669875,0,0.137730268454277,0,0,0,0,0,0.0694108735547461,0,0,0,0,0,0,0,0
MKR,0,0.358474945405864,0,0.236102071795196,0,0,0,0,0,0,0,0.0340948928935528,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0136825998639578,0.000000000000000000216840434497101,0,0.00245444814114678,0,0,0,0,0,0,0,0,0,0,0,-0.0834564370817239
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104338611611446
VIX.INDEX,0,-0.000000000000000000000211758236813575,0,0,0,0.00000130401315772979,0,0.00000259433764166573,0,0,0,0,0,0,0,0,0,0,-2.34011880573572,0
