,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,TRX,ADA,LEO,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.209826411040811,0,0.302756231483536,0,0,0,0,0.197837567885441,0,0,0,0,0,0,0,0,0,0,0
ETH,0.249288874337139,0,0,0,0.0207779973010751,0,0.259093770563671,0,0,0,0.185098812218547,0.00030387116251765,0,0,0,0,0,0,0,0
XRP,0,0,0,0.226965496995036,0,0,0.14557093712835,0,0,0,0.0734551480374404,0.1006486796612,0,0,0,0,0,0,0,0
BCH,0.194906075502829,0.195707283713447,0,0,0,0,0.15700631619571,0.0430058417455041,0,0,0.0527125798688842,0,0,0,0,0,0,0,0,0
LTC,0,0.0948261858936146,0,0,0,0,0.386725924496261,0,0,0,0,0.0754849994556071,0,0,0,0,0,0,0,0
BNB,0,0.0840135650754873,0,0,0.186113590233446,0,0,0.150072404792375,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.124787421479253,0,0.309300392243179,0.159526975812801,0,0,0.079902487636961,0.105673577171631,0,0.003479135925721,0,0,0,0,0,0,0,0,0
BSV,0.0182176916597888,0,0,0.158302347998209,0,0,0.153652154868852,0,0,0,0.352076858905399,0,0,0.00516149614249234,0,0,0,0,0,0
XMR,0.250633228473995,0.0884468739847641,0,0.093159597893804,0,0.0171150593688644,0.0436352670520093,0,0,0,0.162033271500544,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.000000000000000000216840434497101,0,0,0.0735157311096061,0.0546822878493792,0,0,0.16449764582489,0.188639286811601,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0108109809488285,0,0.184188998946605,0.186245816314116,0.19061806836108,0,0,0.212116007627881,0,0.0584840537267314,0,0,0,0,0,0
ADA,0,0.194296342908616,0,0,0,0,0.111716896904462,0,0,0.465458722878838,0.0563428545494807,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0.0343514710882666,0,0.0383067783407845,0.0228038817046781,0,-0.18390437677445,0,0.112035130616419,0,0,0.203272958407101,0,0,0,0,-0.145621532626173
XTZ,0.0792326229787256,0,0.0741536280328948,0,0.184710354759575,0,0,0.13681657432627,0,0,0.0759931757786179,0,0,0,0,0,0,0,0,0.0914119837862269
DASH,0.214250019172254,0,0,0,0,0,0.11887319624265,0.0239824889632275,0,0,0.208936602549227,0,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.175339932126449,0,0,0,0,0,0,0,0,0,0,0.24978823284948,0.0403140548466769,0,0,0,-0.336614949851106,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335881415769854
DXY.INDEX,0,0,0,0.000000723133155545416,0,0,0,0,0,0,-0.0000014365333059541,0,0,0.00000086046572355668,0,0.059058737928674,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.00000000808865475298387,0,0,0,0,0,0.00721631206957621,0,0,0,-0.0769680355890979
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
