,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,XLM,LINK,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.135803699862622,0.00965157349449576,0.032729233958333,0.111016917010173,0,0,0.0291843516024575,0,0.00822952014770527,0.0131529314217296,0.0240121025658516,0,0,0,0,0,0
ETH,0,0,0,0.110226498308372,0.031458904581741,0,0.0763025347974335,0,0,0.0846199210742065,0,0,0.0935758312059219,0.160517999735761,0,0,0,0,0,0
XRP,0,0,0,0.0337248394153228,0.0237890504229418,0.095894202384974,0.121584985606996,0,0,0,0,0,0,0.224009229147803,0,0,0,0,0,0
BCH,0,0,0,0,0.224645303138711,0.0893458238825821,0.101093501797996,0,0,0,0,0,0.0215704886736619,0.0908908394656312,0.0978625738064825,0,0,0,0,0
BSV,0,0,0,0.540480588363324,0,0,0.162135110704803,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.272572716796161,0.0334492847557472,0,0.18823532648144,0,0,0,0,0.0333696430170655,0.0412116621931758,0.090454644922068,0,0,0,0,0,0
EOS,0,0,0,0.153708065325171,0.126727148649542,0.00582231271941472,0,0,0,0.0724268447223592,0,0,0.0679287488998012,-0.000000000000000000433680868994202,0.00121917933074509,0,0,0,0,0
BNB,0,0,0,0.162561463870391,0.01796690364821,0,0.0107905864951064,0,0,0,0,0,0,0.19684944801185,0,0,0,0,0,0
XTZ,0,0,0,0,0.00573976795335909,0,0,0,0,0,0,0.29224964603386,0.0669485506916462,0,0,0,0,0,0,0
ADA,0,0,0,0.0569683540544772,0,0,0.195302875795044,0,0,0,0,0.0174229793466477,0.0164698821842457,0.196413708887676,0.0862590298523904,0,0,0,0,0
XLM,0,0.174690382680273,0.359711784677541,0,0,0,0,0,0,0,0,0.0438848709633154,0,0,0,0,0,0,0,-0.0247273108864061
LINK,0,0,0,0.170273873482333,0,0,0,0,0.0666559834924422,0.0788715962100723,0,0,0.0924016525936684,0.000000000000000000216840434497101,0.00772550129112522,0,0,0,0,0
XMR,0,0.0522642847963819,0,0,-0.00422022097782164,0.208708991611823,0,0,0.0975484620946281,0.167790532572685,0,0.104262828183085,0,0,0.0474624893987409,0,0,0,0,0
TRX,0,0,0,0.225880681666443,0.00950304875974405,0,0.0766697436494149,0,0,0,0,0,0,0,0.0237806011983562,0,0,0,0,0
ETC,0,0,0,0.47222958371817,0.0311291730211467,0,0,0,-0.138733096728592,0.557150209290149,0,0,0,0,0,0,0,0,0,0.0994641068515775
BV010082.INDEX,0,0,0,0,0.00913824604758132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128002811642064
CVIX.INDEX,0,0,0,0,0.00000820659882229589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114471365657753
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00000165364719303498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604746718019796
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
