,BTC,ETH,XRP,ETC,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00187476359678569,0.409362707600449,0.0469727893456324,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,-0.0898158458469014,0,0.0567460008364783,0,0.177568308886049,0,0,0.144565966326192,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.557430962677878,0,0,-0.00690030838840202,0,0.0040176843463598,0,0,0,0,0,0,0,0,0,-0.0095842174011477
XEM,0.434391743517132,0,0,-0.0100903951673263,0,0,0,0,0,0.488004244283761,0.0236182171887243,0,0,0,0,0
DASH,0,0.0757161591485699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0.281472712598321,0,0,-0.0114322934153758,0,0.0320551857432057,0,0,0,0,0,0,0,0,0,0.0187612485695705
XMR,0.264010638294442,0,0,-0.00344687367715395,0,0,0,0.206547945273458,0,0,0,0,0,0,0,-0.011497717481757
XLM,0,0,0,-0.0575217035544694,0,0.192108951433384,0,0.193241831655397,0,0,-0.0231869661521847,0,0,0,0,0.00921800918023729
DGB,0,0.184763035946278,-0.0867900792333344,0,0,0.137155142350435,0.185406960022357,0,0,-0.122123133060239,0,0,0,0,0,-0.003000497354828
BV010082.INDEX,0,0,0,0.0141840968706636,0,0,0,0,0,0,0,0,0,0,0,-0.0360994243924843
CVIX.INDEX,0,0,0,-0.0181944871521413,0,0.00000142093517921819,0,0,0,0,-0.0000119308995351131,0,0,0,0,0.231250143689364
DXY.INDEX,0,0,0,-0.000185036445105625,0.000000115126014393254,0,0,0,-0.000000646690323587076,-0.000000222261716881508,0,0,0.0736625625693509,0,0,-0.0120298863483908
SPX.INDEX,0,0,0,-0.000000000000000000000105879118406788,0,-0.000000551798278596715,0,0,0,0,0,0,0,0,0,-0.044143281431195
VIX.INDEX,0,0,0,0.052896370894431,0,0,0,0,0,0.00770672925053571,0.0141968332580152,0,0.54748133591898,0,0,0
