,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,ADA,LINK,CRO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0119924212230445,0.0587050813139631,0,0,0,0.00114402349098968,0.163003886511321,0,0.0550301106062378,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.12075699392453,0.0403315705311484,0,0.0208069138294968,0,0.0167136345086512,0.401074823671996,0,0,0,0,0,0,0,0,0
XRP,0,0.000259923609445563,0.0240771440153068,0,0.0545677851363592,0.179917729769716,0,0,0,0,0.0788705171477368,0,0.110834048793244,0,0,0,0,0,0,0
BCH,0,0,0.247334597036622,0,0,0.236363642754884,0,0,0.147883084346336,0,0.0492233544181956,0,0.0515748388564138,0,0,0,0,0,0,0
BSV,0,0,0.0227451583562354,0,0.36588017500837,0,0,0,0,0,0.188592977600597,0,0,0,0,0,0,0,0,0
LTC,0,0.00205937878911167,0,0,0,0,0,0,0.0518233995068284,0,0.255748715123433,0,0.1204280072933,0.0290935115334469,0,0,0,0,0,0
BNB,0,-0.0010443730971422,0.320271244338955,0,0,0.100610634403637,0,0,0,0,0.128611473626718,0,0.0611367794882087,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0.0726855392633357,0,0,0,0.00538563804045359,0.277845888605015,0,0,0,0,0,0,0,0,0
TAGZ5,0,0.00487192525653615,0.150920804022877,0,0.289377312385428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,0.00329372375953006,0.300016277226175,0,0,0,0,0,0,0.023784168421433,0,0,0,0.473669257260348,0,0,0,0,0,0
XLM,0,0.00350733932950857,0,0,0,0.0832672081568387,0,0,0,0,0.283780699898177,0,0.164678734163102,0,0,0,0,0,0,0
ADA,0,-0.00205247228718435,0,0,0.219339967030848,0,0,0.107053738895768,0,0,0.39135599555975,0,0,0,0,0,0,0,0,0
LINK,0,0.00157708899204351,0,0,0,0,0,0,0,0,0.627091673885931,0,0,0,0,0,0,0,0,0
CRO,0,0.000170270739910927,0,0,0.112959143796109,0.0389294760285743,0,0,0,0.00241063438470916,0.152822764984682,0,0.227104231433335,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.000447323467001805,0,0,0,0,0,0,0,0,0,0,0,-0.0151256022956081,0,0,-0.0912226158210057,0,0,0
CVIX.INDEX,0,-0.00000352521682026752,0,-0.0000111745973665896,0,0,0,0,0,0.0000011588003968009,0,0,0,0,0,-0.302182130036947,0,0,-0.303411588729628,0.157937600298922
DXY.INDEX,0,0.00000000776451392433057,0,0,0,0,0,0,0,0.0000000523308582479655,0,0,0,0,0,0,0.0222742948258898,0,0,-0.0201143799597406
SPX.INDEX,0,0.000000357447236474675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255254983471508,0,0,-0.186447100773607
VIX.INDEX,0,0.0299108611501967,0,0,0,0,0,0,0,0,-0.0586843154322935,0,0,0,0,0,0.1356247198026,0,-1.40661476915385,0
