,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.39359744420059,0,0.0200547522848652,0,0,0,0,0,0,0.0254597308798504,0.0128561993121501,0,0,0,0,0
ETH,0,0,0,0,0.043416941292527,0,0.0341099012662221,0.0340175493547256,0,0.223831127556159,0.0712454005390614,0.0323189593797233,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0250593170996299,0,0.125182197916149,0.14918798573013,0.120491385845173,0.20908330824477,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0363059018336875,0,0.0412766290870792,0.0911266044448651,0,0,0.148928902116477,0,0,0,0.0360709366686965,0,0,0,0,0
LTC,0.176803487021616,0,0,0,0,0,0.0760861097566881,0,0,0.409949003998757,0.118152171586002,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.035282712952904,0,0.0402370240456031,0.0859360463363435,0,0,0.115952016827051,0.0121842454528318,0,0,0,0,0,0,0,0
NEO,0,0.216473769042051,0,0,0,0,0,0.00000000000000000346944695195361,0,0.184488068041504,0,0.2565603588335,0.0367953490277032,0,0.131319730604073,0,0,0,0,0
XEM,0,0.175949935146985,0,0,0.0216788605057029,0,0.0332478668457856,0,0,0.0405392194000956,0.190888628157409,0,0,0,0.039516085740598,0,0,0,0,0
XMR,0,0,0,0,0.0874819812343929,0,0.0726128219028922,0.0437450133876097,0,0.0287819962956051,0.03278211243677,0.0839837251623637,0,0.00909775783241184,0.0138863602739201,0,0,0,0,0
ETC,0,0,0,0,0.251277255274621,0,0,0,0,0,0.123043779941654,0.0416515236531303,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.190792852462736,0,0.220128446743082,0,0.258345739940676,0,0.0583954381062804,0,0.0816870975137573,0.0417989765463876,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.0822232087181041,0.265186760253701,0.0474532884194743,0.164737641449061,0.0779016254443188,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.103206088218598,0,0.126683552263558,0,0,0.0567502579963215,0.0756562784739382,0.27872616989824,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.163979809175824,0.110999649527975,0,0,0.396842070573974,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00242072045672244,-0.00427990702165814,0,0.0138957651271318,0.0000000000000000000271050543121376,0,-0.0118445155587655,-0.0000000000000000000067762635780344,0,-0.00959661066827536,0,0,0,0,0,0,-0.0458331905426024
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.000000220687487055255,0,-0.00000166574645279484,0,0,0,0,0,0,0,0,0,-0.0304976143089006
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
