,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00718511602541703,0,0,0.00751024962486861,0.0199228609595994,0.018378743462868,0,0.22289928585377,0,0.218050846627653,0.00964145850201691,0.056970031135339,0,0,0,0,0
ETH,0,0,0.0288286382812013,0.056941679342798,0.0970554890275946,0.00609962267021683,0,0,0.157136684792184,0,0.178226969827897,0,0,0,0.0236563979358243,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0620452163276845,0.112185161007446,0.067711258630176,0.115393142590967,0.0950501503492227,0.00642202358258671,0,0.0176972093454982,0,0,0,0,0,0
BCH,0,0,0,0,0.130199890952514,0,0,0,0,0.0892444507671433,0.0698469024178372,0.0217723252822659,0,0,0.0371071224358794,0,0,0,0,0
LTC,0,0,0,0.15354693259625,0,0.0408430960413116,0,0,0,0.274588258541217,0.0659097823071591,0.0227382647312254,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.214126894154102,0,0.0583146114264865,0,0,0.179328612949252,0,0.00767701934682381,0.0604935348754644,0,0,0,0,0
ADA,0,0,0.217142384782852,0,0,0,0,0.303456242357228,0.0715492520437583,0,0.0311747703427299,0,0,0.08690069988941,0,0,0,0,0,0
XLM,0,0,0.207205824897743,0,0,0,0.178700205303187,0,0.0889864157706612,0,0.140283177041249,0.0130259382880595,0,0.0683002151568265,0,0,0,0,0,0
NEO,0,0,0,0,0,0.00123298939347448,0,0.181891318932674,0,0.337119535634722,0.0707686023357016,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0594175159192564,0.110375294546465,0,0,0,0.0386028011670117,0,0.343337141499719,0.0669326351454045,0.0640420082344465,0,0,0,0,0,0,0
XMR,0,0,0,0,0.074910313204898,0,0,0.130854193808045,0.114613794123178,0.0547422231194911,0,0,0.227968176010369,0,0,0,0,0,0,0
TRX,0,0,0,0.0588654078700757,0,0.280872201598041,0,0,0,0.263738531583571,0.035515687670129,0,0.256629095262015,0.0517452799851783,0.0284620985212325,0,0,0,0,0.0621385360916572
DASH,0,0,-0.00000000000000000346944695195361,0.0569806543963479,0,0,0,0,0,0.201238499939489,0.180633605236383,0.0500042592342657,0,0,0,0,0,0,0,0
XEM,0,0,0.0309595088266529,0,0,0,0.0933981804091622,0.322844780301735,0.0490109661358603,0,0,0.116397669453858,0,0,0.0995862120791661,0,0,0,0,0
BNB,0,0,0,0.00000000000000000693889390390723,0.310898856612044,0,0,0.0873410907281786,0,0.171873752359086,0,0.0672158977774309,0,0.00368695729423636,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0101709322878867,0.062641349184308,0,0,-0.0309427662709302,0,0,0,0,-0.0258338658641524,0,0,0,0,0,0,0,-0.0434671781179522
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952317933083009
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0.000016624826367953,-0.00000000000000000000042351647362715,0,0.0000429315627042383,0,0,0,0,-2.9963654581935,0
