,BTC,ETH,XRP,BCH,ADA,LTC,XEM,XLM,MIOTA,EOS,NEO,DASH,TRX,XMR,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0.0391741491221246,0,0,0,0.0265746075558192,0,0,0,0,0,0,0
ETH,0,0,0,0.0701453331065445,0,0.161858674861438,0,0.0172602016862329,0,0.0114593590321562,0.0319560783251908,0,0.0278313022409806,0,0.0374693355369763,0,0,0,0,0
XRP,0,0,0,0,0.115840426898842,0,0.108560780542243,0,0,0,0,0,0.030124404139404,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0868600193648834,0.0325259294159292,0,0,0.105310530332554,0.0992061579779636,0.277562466026838,0,0,0.104135990807576,0,0,0,0,0
ADA,0,0,0.178883994060541,0,0,0,0.0580038201674948,0.501675592233648,0.0267073687833101,0,0,0,0,0,0,0,0,0,0,0
LTC,0.216478102840266,0.332288403960377,0,0,0,0,0.238706160930948,0,0.0467418707586569,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.143806954978228,0,0.00911292556741266,0.00910638138827669,0,0.233988468199128,0.0309883544122199,0,0,0,0,0,0.0677062766900949,0,0,0,0,0
XLM,0,0,0.0373184719496434,0,0.343915399522053,0,0,0,0.13375826169187,0.173278093436912,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.139760124088831,0.149091009160199,0.134492073512362,0.046574995279897,0,0.048866165690481,0,0,0,0,0.00831080840242486,0,0,0,0,0
EOS,0,0,0.139367041202653,0.0841430377290883,0,0.0567208860451826,0.000000000000000000867361737988404,0.0394960465252377,0.199751362893492,0,0.146391554257111,0,0.0892632776231128,0,0.0543426543440428,0,0,0,0,0
NEO,0,0.119019997410304,0.0654122149154316,0.0893431376672986,0,0,0.0107220506317406,0.223658475492902,0,0.000632493797633351,0,0,0,-0.000000000000000000867361737988404,0,0,0,0,0,0
DASH,0,0,0,0.0531299302215371,0,0.0953813384443712,0.0142495582781982,0,0,0,0.00682288384435853,0,0.0806856807631195,0.220939621985083,0.0610539805342871,0,0,0,0,0
TRX,0.283597600291819,0,0,0.172412498162601,0.128096190502007,0.0914459217732431,0.000000000000000000216840434497101,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.135797746468617,0.0446023139445418,0,0.0896768497078003,0.175388035086487,0,0,0.044348269127534,0,0,0,0,0
BTG,0,0,0,0.47977631169332,0.00905403486864732,0,0.00309491808515687,0,0,0,0,0,0,0.0836588940635927,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0.00544575941710159,0,0,0.00281958341077415,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00267200159581988,0,0,0,0,0,0,0,0,0,0.00240660948885583,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
