,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0591808174450951,0,0,0.0738858862607382,0,0,0,0.0141534072827517,0,0,0.160961908245853,0,0,0,0,0,0
ETH,0,0,0.198720554528403,0.0703005991525119,0,0,0,0,0.127905893574332,0,0,0,0,0.0172299259427414,0,0,0,0,0,0
XRP,0,0,0,0,0.0412671140340959,0,0.125420101981128,0.0599483746391096,0.07545957902183,0,0,0,0,0.268899264791699,0,0,0,0,0,0
BCH,0,0,0,0,0.00404879772351738,0,0.0550276651064672,0.026118661941148,0.216683046867883,0.0156160739183812,0,0.188115164178186,0,0,0.110819181627391,0,0,0,0,0
EOS,0,0,0.257589287680097,0,0,0,0,0,0,0.249511471566088,0,0,0.0307469249705045,0,0,0,0,0,0,0
LTC,0,0,0.147562200941646,0.142962003452001,0.028133355107245,0,0,0.0282361041775802,0.0420997537786723,0,0,0,0,0.119380909538849,0,0,0,0,0,0
ADA,0,0,0.202405709206433,0.0456037920425755,0.05997150226407,0,0,0.241839493621885,0.0155199787496835,0,0,0,0,0.0566644630999011,0,0,0,0,0,0
XLM,0,0,0,0,0.121468136893049,0,0.182051290551069,0,0.0101742375577841,0,0,0,0,0.262354015986119,0,0,0,0,0,0
MIOTA,0,0,0.0741778433188077,0.243015807273497,0,0,0.188986781337808,0,0,0,0,0.0986227954650531,0,0.101162941922745,0,0,0,0,0,0
TRX,0,0,0,0.0307466762716805,0.17064448485421,0,0,0.343028051159084,0,0,0.127984142347247,0,0,0.104262866287564,0,0,0,0,0,0
NEO,0,0,0,0.0637604801184909,0.0698951153865176,0,0.0858403853463157,0.0176833522157545,0.061320514795795,0,0,0,0,0.319760250993599,0,0,0,0,0,0
DASH,0,0,0,0.0784018536931164,0.0150242306215037,0,0,0.109922075580294,0.317186096676572,0.0607662869228619,0,0,0.0697339161849994,0,0,0,0,0,0,0
XMR,0,0,0,0.0402136223143344,0.0162251644979629,0,0.0361638210436878,0.0813225903614278,0,0.0362503987749233,0,0.177908109527054,0,0.158964063162642,0,0,0,0,0,0
XEM,0,0,0.00998887655121315,0.0207820029780476,0,0,0,0.230861004794315,0.249620382052499,0.0230610476577197,0.00706896736705103,0,0,0,0.0446070033478039,0,0,0,0,0
ETC,0,0,0,0.170053186138742,0,0,0,0.0562816166648373,0.0819792962215668,0.0519185644426099,0,0,0,0.0937274618226154,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00785096865698379,0,0,0,0,-0.00614565273890535,0,0.00648452215331802,0,0,0,0,0,0,0,-0.0710886109704074
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0.00177996156489557,0,0.00723911686830281,0,0,-0.00216547803576794,0.00421104809962586,0,-0.00743785631693502,0,0,0,0,0,0.0512053772797303,0,0,-0.00744856926969022
SPX.INDEX,0,0,0,0,0,0,-0.000000991187474274614,0,0,0,0,0,0,0,0,0,0,0,0,-0.104986221669225
VIX.INDEX,0,0,0,0,-0.00750365177187518,0,0.00137709173162662,-0.00861497366370072,0.00710248964063188,0,0.00155167050031678,0,0.00102473036950155,0,0,0,0,0,-1.57105303722155,0
