,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.108039167328304,-0.0115909202788375,0.0306912145567596,0,0,0.0539063776897761,0,0,0,0,0
ETH,0,0,-0.0377791253209961,0,0,0.0629417459539125,0.108629281405506,0.00868030616201935,0,0.0481122938294044,0.0470705824635034,-0.0126254948520161,0,0,0,0,0,0
XRP,0,0,0,0,0,-0.0915701270774033,0,0,0.44884341768631,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.111202249471625,0.234182633803267,0.0940921534407331,0.0478318799171331,-0.0951546547131701,-0.0723362427293129,0.143202950032056,0,0,0,0,0.0480946644057448
ETC,0,0.284924835860757,-0.00835823864204922,0,0.0395358152932185,0,0.132966611785279,0,-0.000000000000000000433680868994202,0,0,0,0.194166660445634,0,0,0,0,0
DASH,0,0,-0.0904187143731884,0,0,0,0,0.176872611274548,0.00952928519115047,0,0.102386607971787,0,0.100588940373278,0,0,0,0,0
XMR,0,0,0,0.0994482632273007,0.00769702325089437,0,0.10816295786125,0,0.0322299335435859,0,0,0,0.135093005033735,0,0,0,0,0
XLM,0,0,0.386493386983178,0,0.0621600651751685,0,0,0,0,0.148599398848032,0,0.0326887721213232,0,0,0,0,0,0
DOGE,0,0,0.158148752631854,0,0.0964632742333651,0,0,0,0.114988809711234,0,0.163368881567906,0,0.0623143307125567,0,0,0,0,0
ZEC,0,0.179440682355779,0,0.103779581079478,0,-0.000000000000000000867361737988404,0.00739415776073629,0.110116370815395,0.0281256652558463,0.0243316694180583,0,0,0.0182400807685619,0,0,0,0,-0.0205724505264576
DGB,0,0,-0.279851759983546,0,-0.0452066095586253,-0.248972443101836,0,0.204198967308777,0.350620467428362,0.314674427401732,0,0,0,0,0,0,0,-0.394511716573573
NEO,0,0,0,0,0,0,0,0,0,0.0386588014146715,0.139725411004089,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00487071823961913,-0.00131593317773913,0,0.00230587642159798,0.0260383764923252,0,0,0,0,-0.0809973422510858
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.00268713665250099,0,0,0,0,0,0
SPX.INDEX,0,0,0.000000107215187914754,0,0,0,0,0,0.000000179246109174254,0,0,0.0000012729531877886,0,0,0,0,0,-0.0255035813695078
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
