,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,TRX,XLM,ADA,XMR,LEO,LINK,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.273834117534798,0,0.100144388032977,0,0,0.131888791184565,0.025911621522049,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.140973977983719,0.103112771736411,0.25083418821131,0,0,0.0018038285346432,0.0299857119864332,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.158687097212434,0,0,0.133461200672184,0.129386384170326,0.119930570496544,0,0,0,0,0,0,0,0,0
BCH,0,0.196154446788666,0,0,0.0508690265378466,0.0479076190708506,0.0222536741754348,0.144165017234269,0.167503232483661,-0.0000000000000000000542101086242752,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.333292827054088,0,0.235378217365408,0,0.000000000000000000867361737988404,0.0756366120313436,0,0.0166424047110774,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.300170220583377,0.0481440373467559,0,0,0,0.126387972700392,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.369648871141004,0,0,0,0,0.189353026424802,0,0,0,0,0,0.0497787204733478,0,0,0,0,0
BSV,0,0,0,0.535475109059891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.130039632658296,0,0.269642218730557,0,0,0,0.111120050106642,0.411173427979472,0,0,0,0,0,0,0,0,0
XLM,0,0,0.343437319058225,0,0,0,0,0.0297973172824942,0.173313224338445,0,0,0,0,0,0,0,0,0,0,0.00345985476235253
ADA,0,0,0,0.0893477106066869,0.0197576162439386,0.146243386682809,0.0747737085360879,0.01668003381628,0.212632034605243,0,0,0,0,0,0,0,0,0,0,0
XMR,0.0434968650478506,0,0,0.255813338530888,0.153228409610457,0,0.032907472309864,0.107913874746771,0,0,0,0,0,0,0,0,0,0,0,0
LEO,0.00000000000000000173472347597681,0,0,-0.0148333459684528,0.298587191891943,0,0,-0.0377048171981785,-0.0431122729219699,-0.0407559624178967,0,0,0,0,0,0,0.104610845677011,0,0,0.00406985283848882
LINK,0,0,0,0,0,0,0,0,0.190789039681436,0.0620769914521651,0,0,0,0,0,-0.164134844371638,0,0,0,0.084265819540586
HT,0,0.0647487917933982,0,0.102211038995912,0.0361591044600838,0.0307986229761008,0,0,0.0873145372973912,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.160662531636745
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.085927344758478
VIX.INDEX,0,0,0,0,0,0,0,0,0.00000090933967159829,-0.00000623242234927412,0,-0.00000285825262706499,0,0.0000111147063748136,0,0.000000000000000000433680868994202,0,0,-5.49566752815546,0
