,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,XMR,XLM,TRX,LINK,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.144771029614688,0.0119385022090426,0.048444706028898,0.0966130497735564,0,0,0.000896123961832467,0.0166327152332735,0,0.00890804069998622,0.0172894038361367,0,0,0,0,0,0
ETH,0,0,0,0.113707848796847,0.0304156747782943,0,0,0,0,0.0576211945685144,0.0566473788837342,0,0.223146714120069,0,0,0,0,0,0,0
XRP,0,0,0,0.059683405700267,0.0237919872309861,0.114471468057497,0.0707794303667583,0,0,0,0,0,0.216859528396412,0,0,0,0,0,0,0
BCH,0,0,0,0,0.230528311867697,0.0921071578280427,0.0908410966910244,0,0,0,0.025789635093872,0,0.0944919810282503,0,0.0987162291315449,0,0,0,0,0
BSV,0,0,0,0.430635988885743,0,0,0.339424739093188,0,0,0,0,0,0,0,0.125576657970011,0,0,0,0,0
LTC,0,0,0,0.289394603841004,0.061692354271851,0,0.0605525346205759,0,0,0.0232493781411524,0.0526850052702473,0,0,0.070712610020139,0,0,0,0,0,0
EOS,0,0,0,0.168144182049441,0.123254624337543,0,0,0,0,0,0.0592159187575016,0,0,0,0.00461780795559269,0,0,0,0,0
BNB,0,0,0,0.154179270981028,0.000410228400396282,0,0.0796962299198237,0,0,0,0,0,0.229220563695084,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0,0,0,0.0574017865641346,0,0.0115845798925156,0.349166143668749,0,0,0,0,0,0
ADA,0,0.0498305390899879,0,0.0648427303983663,0.00441588057422822,0,0.137939252445596,0,0,0,0.163690694543868,0,0.189807102718236,0.0103674631151312,0.0469227385037163,0,0,0,0,0
XMR,0,0.000949146634518581,0,0,-0.00139800447274697,0.192920333600109,0,0,0.0293813231822188,0.17997052359059,0,0.0585636498075585,0,0.126649455670684,0.0563974139492985,0,0,0,0,0
XLM,0,0,0.432723452601556,-0.00000000000000000173472347597681,0,0,0,0,0.0446483983015728,0,0,0,0,0.12761851212472,0,0,0,0,0,-0.0459240186673843
TRX,0,0,0,0.22964528033622,0,0,0.116943985848231,0,0,0.00129131610856352,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0.065595012789782,0,0.215003381949348,0,0,0.181612019785779,0,0.0452785789865326,0.0666388628262905,0,0,0.0063578739586236,0,0,0,0,-0.0479610306501514
ETC,0,0,0,0.454161044313249,0.0429784495880511,0,0,0,-0.121731095722677,0.505353147697472,0,0,0,0,0,0,0,0,0,0.085244654739985
BV010082.INDEX,0,0,0,0,0.0113517658724106,-0.0220984405026012,0,0,0.00854778033379028,0,0,0.0304944105712523,0,0,0,0,0,0,0,-0.160596503482727
CVIX.INDEX,0,0,0,0,0.000000819570974679936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154607926337781
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00000153395911518458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0646349031896774
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
