,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.132326079371381,0,0,0,0,0.194108649318509,0.0105821162608474,0.00262346452621274,0,0,0,0,0.000000000000000000216840434497101
XRP,0,0,0,0,0,0.247403743314076,0,0,0.0177382381621374,0.0686282347127475,0,0,0,0,0
LTC,0.244103787543988,0,0,0,0,0.067788969713416,0.0216299594998162,0.0852778956073654,0,0,0,0,0,0,-0.0138500661189545
ETH,0,0,0,0,0,0,0.100326727338618,0.317488479736105,0,0,0,0,0,0,0
DASH,0.250495713334436,0.0299441959876382,0.0570106274876359,0,0,0.0142713663240922,0.0901975226596004,0,0.000571756764134225,0,0,0,0,0,0
DOGE,0,0.0964748180278347,0.228398776312775,0,0,0,0.102596800478451,0.164503128679891,0.00700310803701964,0,0,0,0,0,0
XLM,0.133095657856331,0.0466313566610325,0.30315504851176,0,0,0,0,0,-0.0837713389172262,0.0301762210502291,0,0,0,0,-0.0248001711414489
XMR,0.978443454214747,0,0,0,0,0,0.0533164682017006,0,0.000000000000000000216840434497101,0,0,0,0,0,0
DGB,0.875243070325774,0,0.261287536565212,0.0386717553907669,0,0,0,0,0,0,0,0,0,0,-0.0578957468472627
XEM,0,0.144754525615898,0,0.109975563533173,0,0,0,0.203738366977293,0,0,0,0,0,0,-0.0246946839628798
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.00440090631102517,0.0145236609225361,0,0,0,0,-0.0402095016956903
CVIX.INDEX,0,0,0,-0.00000110314971615379,0,0,0,0,0.000000708722935071282,0.00000206814944175489,0,0,0,0,0.0969468779945637
DXY.INDEX,0,0,0,0,0,0,0,0,0,0.0000295566825107848,0,0,0,0,-0.0173389349137712
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0823685182031793
VIX.INDEX,0,0,0,0,-0.00000100881291473814,0,0,0,0,0,0,0.0220761019979406,0,-3.26953587339014,0
