,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00619314289853895,0,0,0.023801543410074,0,0.021108279185921,0.0403265335838644,0,-0.0157887026551439,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.0182372454125542,0,0,0,0,0.213978081252078,0,0,0,0,0,0.0196982520704289
LTC,0.346573201115201,0,-0.00501375868472778,0,0.0451813123766406,-0.00188201136719353,0,-0.000127262490270043,-0.0149129786524565,-0.0163807095745354,0,0,0.071067355340319,0,0,-0.00755530911599079
ETC,0,0,0,0,0,-0.0102079061377611,0,-0.131711975774397,0,0,0,0,0,0,0,0
XMR,0,0.18955608253516,0,0,0,0,0.23722368749994,0,-0.957397885936041,-0.00000000000000000173472347597681,-0.075453748774463,0,0,0,0,-0.125767065490633
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0475286007401367
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0,0,0,0,0,0.0408773884250781,0,0,0,0,0,0,0,0
XLM,0,0,0.496329167836737,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0.161896940528869,0.200491447455815,-0.108262846987796,-0.068423864959122,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0839662573323647,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771329970243521
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0633804666147181
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
