,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0384485751250313,0,0,0.11785371182495,0,0.0946437264788754,0.0231568313573843,0,0,0.0560360285912856,0,0.0136093980728865,0,0.00725143540727943,0,0,0,0,0
ETH,0,0,0,0,0.162331041263183,0,0.015135993726741,0.0245019648827604,0,0.116147429929153,0,0,0.00400856312725152,0.0174637935330039,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.154214810089283,0.0543230033335699,0,0.12178130389381,0,0,0.0386299883492143,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.138930785018585,0,0,0.187739389101493,0,0.0125392506507236,0,0,0,0,0,0,0
LTC,0,0,0.0434477306411296,0,0,0,0.0148595264106405,0.0619691894163958,0.0667392566809521,0,0.66921335841953,0,0,0,0.0476739150395079,0,0,0,0,0
DASH,0,0,0,0,0.0233612586067999,0,0.0967178949038827,0.0111220365370457,0,0.0852790534666716,0,0,0,0.191631113595601,0,0,0,0,0,0
XEM,0,0.328378247157514,0,0,0.0827114773163556,0,0,0.0176030009822475,0,0.12224511911771,0,0,0.0263774910448476,0,0,0,0,0,0,0
NEO,0,0.284019746061531,0,0.517311184079515,0,0,0,0,-0.128624768149315,0,0,0,0.0570158235701435,0,0.141164599067235,0,0,0,0,0
XMR,0,0,0.0224664599873124,0,0.0462216340189665,0,0,0.0316725723846624,0,0.0729820666322718,0,0,0.0233504151570116,0.219643524289853,0.000000000000000000867361737988404,0,0,0,0,0
MIOTA,0,0,0,0.0643763991855116,0,0.166313351298022,0.202333811276587,0.0147787161304558,0,0,0,0,0.0437191284874132,0.0960415667310433,0.23411397616723,0,0,0,0,0
ETC,0,0,0,0,0.33019156775297,0,0,0,0,0.0567650142439071,0,0,0.00505411583468314,-0.000000000000000000433680868994202,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.0540938322991198,0.0864647006086726,0,0,0.32274296218365,0.0779820031889269,0.0491043016053869,0.183220901973541,0.151938602945047,0,0,0.135905682868611,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.0821977446601164,0,0.092215185725536,0.0604841483371999,0,0,0.00388535872613905,0,0.0781505670717957,0,0,0,0,0
EOS,0,0,0,0,0.14610498269593,0,0.00395797114307051,0.12751718809843,0,0.020585198790974,0,0,0,0.113537491031448,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.00702000583362802,0,0,0,0,0.00737175065201687,0,0,0,0,-0.0803893006296931
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.000748533888541174,0,0,0,0,-0.000274166938471987,0,0,0,0,0,-0.0328501976460287
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
