,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.135747493508595,0.0155589804538834,0.0344594690144416,0.0570928590851844,0,0,0.0240936360197062,0,0,0,0,0.00327509452358907
XRP,0,0,0.0597823534586402,0.111431277393963,0,0.0845848152448018,0,0,0,0,0,0,0,-0.0397727417021607
LTC,0.29470682485526,0,0,0.028505786997574,0,0,0.0639098306526488,0.0620756234111851,0.0671055447099382,0,0,0,0,0.124005207651351
DOGE,0,0.155779825245313,0.312399593817019,0,0,0.190497075729368,0,0.0953434086411866,0,0,0,0,0,0
DASH,0,0.0961425868606404,0.0798253711083623,0,0,0.109042549429323,0.104544411212191,0,0,0,0,0,0,0
XLM,0,0.157390597405476,0.0785765054991054,0.221980315038226,0,0,0,0,0.0273986436327218,0,0,0,0,0.042136431311974
XMR,0,0,0,0,0,0,0,0,0.19019443364258,0,0,0,0,0
XEM,0,0,0.105784558850889,0.188110318090856,0,0,0,0,0,0,0,0,0,0.159192334177772
DGB,0,0,0.0788360867299644,0.0363428448626927,0,0,0.0802353789185712,0,0,0,0,0,0,0.121183298787373
BV010082.INDEX,0,0,-0.00113047535331026,0,0,-0.000563366603580889,0,0,0,0,0.0941618523138083,0,0,-0.0506809762028572
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414099073137356
DXY.INDEX,0,0,-0.0000000196074894285437,0,0,-0.0000000211602288497042,0,0,0,0,0.0216647063492379,0,0,-0.015351923315268
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0686018314317809
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
