,BTC,ETH,XRP,EOS,LTC,BCH,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0565028203223162,0.055136284338338,0.0643872279200526,0,0,0.0456995471760904,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.134772756504267,0.205694658463778,0.0688156767990846,0,0,0.0455110117129417,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.10853421051897,0.104489334545417,0.0922102104084692,0,0.0538279844174619,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.218938221785864,0,0,0.426426583619502,0.0174542292769405,0.0123529691923374,0,-0.000000000000000000433680868994202,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.220340588512329,0,0.300491863019637,0.0717461478001235,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0.147498402990444,0.24670940571897,0,0,0,0.113483348801522,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0.451480881066092,-0.0825844074922386,0,0,0,0,-0.252656059961725,0,0.304347544475715,0,0.104162797754491,0,0,0,0,-0.0738206602430955
XLM,0,0,0.0670659208784233,0.100007973647387,0.0312260142597483,0.113816998144585,0,0,0.0647809807181455,0,0.047096904248094,0,0,0,0,0,0,0,0,0
ADA,0,0.0205039334339464,0,0.180713261412539,0.161598442888732,0.252005014546257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.107873258855216,-0.00000000000000000010842021724855,0.0451473172123255,0,0.00422745055148609,0.100729825197138,0,0.0700549988583189,0,0.0974899309417622,0,0,0,0,0,0,0
BSV,0,0,0,0.0367377652973279,0.163009630251893,0.1564438892923,0,0,0.0823768993033856,0,0,0,0,0,0.038116048009934,0,0,0,0,0
XMR,0,0,0,0.186604762176731,0.141730716033669,0.0446857363346664,0.0125879680704247,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.0133021368139188,0.312863716920049,0,0,0.0113793583791915,0,0.0975187538391996,0,0.0316173642068493,0.0918414938591259,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.1654152798887,0.142743810267716,0.0538840041276858,0,0,0.10888620458581,0,0,0,0,0,0,0,0,0,0,0
MKR,0,0.242737487416633,0,0.22480673677022,-0.00000000000000000693889390390723,0,0,0,0,0,0.240356927285086,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250142618951427
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0.00000116591950480318,0,0,0,0,0,0,0,0,0,0,0,0,-0.0940464251171206
VIX.INDEX,0,0,0,0,0.0000608285552698602,0,-0.0000000000000000000016940658945086,0,0,0,0,0,-0.0000510799362606651,0,0,0,0,0,-2.68538924050388,0
