,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,LEO,ATOM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0633867437176345,0,0.0669366394300584,0.168895166773982,0,0,0,0.0797015035568589,0,0,0.0450224904562104,0,0,0,0,0,0
ETH,0,0,0,0.0546021605283163,0.02862707691595,0.211549193881983,0,0.0334567904976167,0,0,0,0,0,0.0257510288277782,0,0,0,0,0,0
XRP,0,0,0,0.0718017568874732,0.083963654064992,0,0,0.0429721187335766,0.0179750264491625,0,0.134189380811841,0.0764399734115951,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0688224014749519,0,0.081516609841989,0.196877939635715,0,0,0.245443123095658,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.0914796230096707,0,0.578523104379148,0,0,0,0,0.0595657659529072,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.394724847676086,0,0,0.135171973222128,0,0.0633892334664557,0.060200928199661,0,0,0.051530950224535,0,0,0,0,0,0
BNB,0,0,0,0.124953322447379,0,0.268090951955149,0,0,0,0,0.0846924557775837,0,0,0.0170097948427199,0.0308422811657046,0,0,0,0,0
BSV,0,0,0,0.12511506379987,0.0327550457631544,0.2353212011684,0,0,0,0.0213008188151847,0.137131810857347,0,0,0.105059615875422,0,0,0,0,0,0
XTZ,0,0,0.845781023109021,0,-0.129802836755541,0,0,0.033426318483364,0,0,-0.23028566437596,0,0,0.0650755561491101,0,0.185781525846598,0,0,0,0
XLM,0,0,0,0.081005342343702,0,0.328270037951075,0,0.00000000000000000346944695195361,0,0,0.0803163864050512,0,0,0.0288704513978788,0,0,0,0,0,0
TRX,0,0,0,0.257828183686107,0,0.00513595084441701,0.38036277658407,0.0472117085500168,0,0,0,0,0,0.0576083923505152,0,0,0,0,0,0
ADA,0,0,0,0,0,0.369962983685389,0.0670399116593894,0.127241756203549,0,0.00271391850088126,0.08833683069163,0,0,0.0383447767113887,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0.128904627106008,0,-0.00771112998522936,0.0928407007595969,0,0,0,-0.0334537065024401,-0.113465027410285,0,0,0,0,0
ATOM,0,0,0,0,0,0.404443949772897,0,0,0.232144887672112,0.23291354708903,0,0,0,0,0,0,0,0,0,-0.0721529710410714
XMR,0,0,0,0.176631163815232,0,0,0.227648684030043,0,0,0,0,0,0,0.0699112948302559,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441843518354545
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130938678077762,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000000162624368683,0,0.0381498700976566,0,0,0,-0.00276325721044748
SPX.INDEX,0,0,0,0,0,0.00000184484639184146,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0434415233921664
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
