,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,MIOTA,DASH,TRX,NEO,ETC,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0956601391394495,0.060928079738306,0,0,0.0164296441634728,0,0.0436567860027901,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0451870685441886,0.0949261318669151,0,0,0,0,0.0926319902742803,0,0.12142859531725,0.0837653306030263,0,0,0,0,0,0,0
XRP,0,0,0,0.0326374800712891,0.0571395608422141,0,0,0,0,0.23128707968025,0,0,0.141506818730351,0,0,0,0,0,0,0
BCH,0,0,0.00379853843968031,0,0.0241430027268712,0,0,0,0.216821237024443,0.0628524714402386,0,0.136749361228536,0.0696323488295718,0,0,0,0,0,0,0
EOS,0,0.115515933631522,0,0.0659226174977364,0,0,0,0,0,0.0224068446164904,0,0.204557081724287,0.239196011269117,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0,0.375039047945699,0,0,0,0.170769552778288,0,0,0,0,0,0,0
LTC,0,0,0,0.238312618939036,0.0343814734654138,0,0,0,0,0.0862014182659419,0,0.00000000000000000693889390390723,0.147378088639302,0,0,0,0,0,0,0
XMR,0,0,0,0,0.00000000000000000173472347597681,0,0,0,0.145273461918191,0.0942026598514501,0,0,0.301312104538569,0,0.0461319325332605,0,0,0,0,0
ADA,0,0,0,0,0.185761292548483,0,0,0,0,0,0.055699254839969,0.201620589694552,0.207156709022521,0,0,0,0,0,0,0
MIOTA,0,0,0.0772038266260318,0,0,0,0,0,0,0,0,0.0960939426416208,0.721141985366306,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.115847131067453,0,0.0828669480765149,0,0.0868199547824473,0.25803238157846,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0303880587599285,0,0,0,0.114223110121552,0.182885732200374,0,0,0.373626120386225,0,0,0,0,0,0,0
NEO,0,0,0.044156733263453,0,0.14925773251779,0,0,0,0,0.385845168505158,0.0286224562971953,0.0770663586613676,0,0,0,0,0,0,0,0
ETC,0,0.17504156824936,0,0,0.126273072855667,0,0,0,0,0.211673632545544,0,0,0,0,0,0,0,0,0,0
XTZ,0,0.349730825594399,0,0,0,0,0,0.127423527754379,0,0,0,0.0472696674858799,0.0130830829776057,0.185524677254041,0,0,0,0,0,-0.0653581338274487
BV010082.INDEX,0,0,0,0,0,0,0,-0.00156358684640864,0,0,0,0,0,0,0,0,0,0,0,-0.0592452754668197
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,-0.000000732463311928229,0,0,0,0,0,0.000000191177355453867,0,0,0,0,0,0.0654952043240958,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0460488173925046
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
