,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0910936492764581,0.03504952534547,0,0,0,0,0,0,0.0206429394939401,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.169324367930818,0,0,0,0,0.0333897736624673,0,0.107563798431059,0,0,0,0,0,0,0,0,0,0
XRP,0,0.067686403162877,0,0,0,0.0471718388439764,0,0.360601937577888,0,0,0,0.221175251849279,0,0,0,0,0,0,0,0
BCH,0,0.37911873911269,0,0,0,0,0.0539386420697531,0.0976365974901168,0,0.0921117756266243,0,0.0407498971450797,0,0,0,0,0,0,0,0
EOS,0,0.165172324651601,0.124352172058725,0.0455871148244299,0,0,0,0.130256445403645,0,-0.000000000000000000867361737988404,0,0.0700753979263848,0,0,0,0,0,0,0,-0.0236912389946572
XLM,0,0,0.217803639000112,0,0,0,0,0.326256551620526,0,0.11102223551533,0,0,0,0,0,0,0,0,0,0
LTC,0,0.052295387682504,0.0308472010102526,0.0475528916122509,0,0,0,0.187945721327608,0,0,0,0.0814372894584637,0,0,0,0,0,0,0,0
ADA,0,0.180331838185799,0.141212924142542,0,0,0.31041064652082,0,0,0,0.0360973698713941,0,0,0,0,0,0,0,0,0,0
XMR,0,0.201217840386311,0.109308239103278,0.0131287943818433,0,0,0,0,0,0,0,0.0568308939856772,0,0,0,0,0,0,0,0
TRX,0,0.412856993380878,0,0,0,0,0,0.264599144928333,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0814345491618482,0.0887041042914005,0.0495297082073037,0.0996330213654681,0,0,0.0246129324639966,0,0.0104513994000281,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0923088425011978,0,0,0,0,0,0.143581010062912,0.1403460896303,0,0,0,0.276239345631843,0,0,0,0,0,0
BNB,0,0.103076634451171,0.0191955056884039,0.00316858037768149,0,0,0,0,0,0.124088907275741,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.00410837415889829,0,0,0,0.237247382948899,0,0,0,0.262743642846137,0,0,0,0,0,0,0,0
ETC,0,0.189691117467159,0,0,0,0,0,0.19399993883423,0,0,0,0,0,0,0,0,0,0,0,-0.00612269407092646
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158167407290152
CVIX.INDEX,0,0,0.00134242722541598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192483324053456
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0730704828176388
VIX.INDEX,0,-0.00000396671390820152,0,0.00000135994438120668,0,0,0,0,0,0,0,0,0,0,0,0,0.199413434633815,0,-2.55349321119057,0
