,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,XLM,EOS,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.156934720689842,0,0.00975863115153926,0.0102864599602135,0,0,0,0,0.0100643849929909,0,0.142622693945173,0,0,0,0,0,0,0
ETH,0,0,0,0,0.200930462602881,0,0,0.045331213962457,0,0,0,0,0.0153712818129332,0.0546966690778046,0.125127450480636,0,0,0,0,0
BCH,-0.0148032986392769,0,0,0.212946025364136,0,-0.00914701428941595,0,0.114418022237666,0.0599146852151682,0,0.0833685846372613,0,0,0.100017748524423,0,0,0,0,0,0
XRP,0,0,0,0,0.0606617442127729,0.0641416740784447,0,0,0.104099469765943,0,0,0,0.0225846268945397,0,0.0303601530297156,0,0,0,0,0
LTC,0.0332020305451021,0.222366845998419,-0.0398268853544316,0,0,0,0.0519381249645956,0,0.209241658170136,0,0.00671917085153538,0,0,0,0.0390697556691154,0,0,0,0,0
ADA,0,0,-0.0834260897494975,0.111308172034675,0.193110720774029,0,0.036339451967695,0,0.00110692107834169,0.0114540937357048,0,0.0458020708655419,0,0,0.271913599593601,0,0,0,0,0
MIOTA,0,0,0,0,0,0.13186468059332,0,0,0.167123547116662,0.122489263319569,-0.0364688543506412,0.12460414346139,0,0,0.145733876403315,0,0,0,0,0.132978282439681
DASH,0,0,0,0,0.0448691855237547,0.0469628447617469,0,0,0.0271047142077143,0,0,0,0,0.0777968204666166,0,0,0,0,0,0
XEM,0,0,0,0.0692383802053309,0,0.167500610347305,0.0677173646408518,0,0,0,0,0.00032174569818321,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0643679327114983,0.0929218396624237,0.1584541498889,0,0,0,0.0181791394549737,0.0157703347131967,0.0980860231859547,0.0494068706002542,0,0,0,0,0
BTG,0,0,0.418722612308217,0,0,0.00441646341489282,0,0,0,0,0,0,0,0,0.0815105844484799,0,0,0,0,0
XLM,0,0,0,0,0,0.249008642352891,0.132695858124883,0,0,0.310173390174905,-0.0209537708015026,0,0.0607477516862005,0,0,0,0,0,0,0
EOS,0.162884521745423,0,0,0.164458048728323,0.0564098951904173,0.0110977684517674,0.120664038723326,0,0.000000000000000000867361737988404,0,0.00849508165503665,0.0294418349688982,0,0.149616977322104,0,0,0,0,0,0
NEO,0,0.0584450157339098,0,0.139240787022289,0.0244492714236147,0.0391914631320068,0,0,0.00743396218755843,0,-0.018027105473728,0.0717299295345468,0.0575067920235516,0,0.0800720228804748,0,0,0,0,0
ETC,0,0,0.0496403350464746,0,0,0.108451078444668,0,0,0.0984089421220888,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0108848036663387,0,0,-0.000795616006873076,0.0073379747336331,0,0.0113649638536937,0.0245147480529486,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00000000498332825004319,0,0,0,0,-0.000000000504584842383402,0,0,0,0,0,0,0,-0.0123792881138157
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
