,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,LINK,ADA,XLM,TRX,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.168740450859371,0.0120323218013486,0.0528571996007906,0.0635311506473284,0,-0.00151591326360984,0,0,0.0509748199298779,0,0,0,0,0,0,0,0
ETH,0,0,0,0.226842106140623,0.000561051059152948,0,0,0,0,0,0,0.00987919259058189,0,0.196461522274089,0,0,0,0,0,0
XRP,0,0,0,0.083661463314695,0.0166820599419818,0.0723709695076168,0.0905124584974649,0,0.0027165630728209,0,0,0,0,0.232591823511321,0,0,0,0,0,0
BCH,0,0,0,0,0.264093830565216,0.160716445886171,0,0,0.00045990446585968,0,0,0.0287284342592797,0,0.0783106727586873,0,0,0,0,0,0
BSV,0,0,0,0.596150785835587,0,0,0.0673416538527063,0,-0.0104657049839926,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.34754641417219,0,0,0.0467080347754578,0,-0.00219274074915353,0,0.00640851513888751,0.0616817530964462,0,0,0,0,0,0,0,0
EOS,0,0,0,0.13569590729476,0.122280038025044,0.0786699684625304,0,0,0.000324625361784939,0,0,0.103171944644273,0,0,0,0,0,0,0,0
BNB,0,0,0,0.164523829453353,0.00493932604096148,0,0.0749827539189738,0,-0.000485239646672066,0,0,0,0,0.194656261276275,0,0,0,0,0,0
INNBCL,0,6.90322711441113,0,0,-1.12665643474779,0,0,0,0,-10.76818353012,0,0,2.16802555243912,0,8.05464133480763,0,-1.15605462696013,0,0,-1.13144041127953
XTZ,0,0,0,0,0,0,0,0,-0.011346054014088,0,0.20185507873968,0.129479375137391,0,0,0,0,0,0,0,0
LINK,0,0,0,0.0633437526662974,0,0,0,0,-0.00355239465907275,0.101975414880958,0,0,0,0.0930610446857024,0,0,0,0,0,-0.0177268214595429
ADA,0,0,0,0.154064499975739,0,0,0.293454696005916,0,-0.00595894393602254,0,0,0,0,0.178581168864171,0,0,0,0,0,0
XLM,0,0.133469954148168,0,0.119740358932039,0,0,0,0,0.00542428455949411,0,0,0.0272382918040051,0,0.131391304367792,0,0,0,0,0,-0.0206667292800683
TRX,0,0.190909101804204,0,0.210048005607733,0,0,0.0757327620582809,0,-0.000318885253261063,0,0,0.0203891291682101,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0.0129560897305229,-0.150117771077874,0,0.160695224222823,0.00296389244093153,0.0147167790468068,0.0638344769094641,0,0,0,0,0,0.0369199967250309,0,0,0
BV010082.INDEX,0,0,0,0,0.00886320839151832,0,0,0,0.000440088987923688,0,0,0,0,0,0,0,0,0,0,-0.119908526209797
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0.00000101166888996775,0,0,0,0.00000615260439630002,0,0,0,0,0,0,-0.0127997485907263
SPX.INDEX,0,0,0,0,0,0,0,0,0.0000000602608499007549,0,0,0,0,0,0,0,0,0,0,-0.064635869374629
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
