,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0792594447622276,0.029086935140194,0.0635053552890903,0,0,0,0,0,0,0,0,0,0.00702393600201045,0,0,0,0,0,0
ETH,0,0,0.141915456195598,0.202250556778178,0,0,0,0.0448734855606522,0,0.237342289041283,0,0,0,0,0,0,0,0,0,0
XRP,0,0.155803477639115,0,0,0,0,0,0.273907368069485,0,0,0,0.151379909563676,0,0,0,0,0,0,0,0
BCH,0,0.434450372455702,0.0285067028823956,0,0,0,0,0.042730751146456,0,0.0969857408217886,0,0,0,0,0,0,0,0,0,0
EOS,0,0.10253543456765,0.115767778291055,0.10392701461248,0,0,0,0.146025195503747,0,0,0,0,0,0,0,0,0,0,0,-0.0114509182000481
XLM,0,0,0.170433502329036,0,0,0,0,0.313717810448751,0,0.103727165337124,0,0,0,0.0346383309956638,0,0,0,0,0,-0.00764780938331154
LTC,0,0.216010039759808,0.0694314390786154,0.036718587040257,0,0,0,0.00360189196872949,0,0.0610409903976042,0,0,0,0,0,0,0,0,0,0
ADA,0,0.157025371958217,0.111591914286614,0,0,0.26685510412027,0,0,0,0.090639253588525,0,0,0,0.044687037995635,0,0,0,0,0,0
XMR,0,0.220434217237166,0.117308780301149,0.0121333979546796,0,0,0,0,0,0,0,0,0,0.133678027491275,0,0,0,0,0,0
TRX,0,0.247407158409717,0.0154533622840922,0.0243951378233518,0,0,0,0.337295812657299,0,0,0,0.227224926422051,0,0,0,0,0,0,0,0
DASH,0,0.136348494694185,0.0558884342906403,0,0.181945492961102,0,0,0,0,0.0151353865343147,0,0,0,0.0463643728461045,0,0,0,0,0,0
MIOTA,0,0,0.119140943768146,0,0,0,0,0,0,0.154678658677339,0,0,0,0.217931685762316,0,0,0,0,0,0
BNB,0,0.111444383565453,0.0100475968939461,0,0,0,0,0,0.0236559085150538,0.126221501658994,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.0330662749988556,0,0,0,0,0.15434219811929,0,0.000000000000000000867361737988404,0,0.362149575708473,0,0,0,0,0,0,0,-0.00176638119244166
ETC,0,0.272348351690223,0.046430597668975,0,0,0,0,0,0,0,0,0.0518699069932383,0,0.0123779027713944,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271098761537999,0,0,0,0,0,-0.0400430467913514
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185476678361287
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0705924421244718
VIX.INDEX,0,-0.0350852316550249,0,0,0,0,0,0,0,0,0,0,0,-0.00588784969189174,0,0,0,0,-2.20907643138134,0
