,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,DASH,ETC,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.269708108376129,0,0,0,0,0.149671229211311,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.210915804199101,0.105171759599176,0,0,0,0,0.0403383611412271,0.162947800467106,0,0,0.0196851621015072,0,0,0,0,0,0
XRP,0,0,0,0,0.199647528322815,0,0,0,0,0.289530345883866,0.0315663906266894,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0753177727722921,0,0,0.109977292403515,0.159369171194758,0.0272246428338769,0.250237496620408,0,0,0.0438908581131188,0,0,0,0,0,0
EOS,0,0,0,0.0476277643530706,0,0,0,0.0346001683824818,0.14859628414158,0.184226075896055,0.23501744409649,0,0,0.0274498612196285,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.487401969643498,0,0.116289228428879,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.15096993698076,0.288591548129711,0,0,0,0.00672261017681591,0.0879713369221732,0,0,0.00587637391993698,0,0,0,0,0,0,0
ADA,0,0,0,0.103829702569088,0.170488298860932,0.160508888889158,0,0,0,0,0.146794624544113,0,0,0.0537458392366868,0,0,0,0,0,0
XMR,0,0,0,0.374753009255609,0.136561099696872,0,0,0,0,0.088920004353988,0,0,0,0.092198359392911,0,0,0,0,0,0
MIOTA,0,0,0,0.0737308255294541,0.201728793328773,0,0,0,0,0,0,0,0.0669082567159524,0.536232461611179,0,0,0,0,0,0
TRX,0,0,0,0.142617689644948,0.235386062410584,0.109558746363554,0,0.0597551037015826,0,0.151367537905876,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0503018862703733,0,0.0179145001343627,0.117045248811883,0.0703549309078447,0,0,0,0.246991358322141,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0.237303009097017,0,0.0980352839825136,0.116911928807279,0,0,0,0,0,0,0,0,0,-0.0541069192584337
NEO,0,0,0,0,0.236131956500989,0,0,0.0707353564065355,0.145059231791479,0.249696431133061,0.108069589072158,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0.144042378181318,0,0,0.0483898332294426,0,0.0762651884669066,0,0,0.164364974247362,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00149686552145788,0,0,0,0,0.00037431211099968,0,0,0,0,0,-0.124359008249538,0,0,-0.0259344687975901
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.0000167020284263218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320227998506986,0,0,-0.00865632822571892
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471209662959398
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
