,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,DOGE,ZEC,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.106543411620674,0.00171775124348576,-0.0120468293128002,0.0335844630073993,0,0,0.0536853038488186,0,0,0,0,0
ETH,0,0,-0.0398130397361395,0,0.0685276389628635,0.0398808613049441,0.0713831101461497,0,-0.00615960831275761,0,0.0364453618849889,0.143242667170981,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.263374403896408,0,0,0.000000000000000000867361737988404,0,0.538775126313678,0,0,0,0.105598129613557,0,0,0,0,0
XEM,0,0,-0.171089206100081,0,0,0,0,0.00000000000000000010842021724855,0,0.205389851248191,0.0499205324589293,0.10207840975393,0,0.169594200144348,0,0,0,0,0
ETC,0,0.29029048081271,-0.036537065187241,0,0,0,0,0,-0.0206160918066099,0,0,0,0,0.276538946901382,0,0,0,0,0
LTC,0,-0.222956248635926,0,0,0,0,0.0325802902536183,0.338026115064062,-0.0727664255458195,0.0597572013377355,0.106897192872029,0,0,0.179577610882779,0,0,0,0,0.0593628258263056
DASH,0,0.0641641457266793,-0.0351724578766588,0,0,0.0305880928242197,0,0.229501361571658,0,0.00000000000000000010842021724855,0,0,0,0.0402489426472739,0,0,0,0,0
XMR,0,0,0,0.0836620714597617,0,0,0.251653913621118,0,0,0.0350488107257478,0,0,0,0.0208032289784244,0,0,0,0,0
DGB,0,0,-0.301400911952285,0,-0.332881730601474,-0.148479305348734,0,0.210651050623637,0,0.197572132714955,0.580443950297026,0,0,0,0,0,0,0,-0.555881960348598
XLM,0,0,0.451500046798164,0,0,0,0,0.149608304428834,0.00731023251564642,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0.169692482660646,0,0,0.133303915094201,0,0,0.0769367884688097,0.0942236345420052,0,0.066262823327785,0,0.0935705238749696,0,0,0,0,0
ZEC,0,0.233354898377499,0,0.0924843570597993,0,0,0,0.110575179278877,0,0,0.030415837303784,0,0,0.0127506529519877,0,0,0,0,-0.0118179187264448
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.211485146111013,0,0,0.0616635025762703,0,0.0172917475073483,0.016119451518019,0.124776704051185,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00180048624578313,0,0,0,0,0.021563660270493,0,0,0,0,-0.0742809561576162
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,-0.00299018004245075,-0.000402196228801009,0,0,0,0.00165609731358912,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0.00000173710603329034,0.000000359047785783555,0,0,0,0,0,0,0,0,-0.0213384780103996
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
