,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,TRX,XMR,XTZ,ETC,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.106692220580137,0,0.031907822031462,0.173496638062513,0.0644995192290367,0,0.0321928043895657,0.0211524519470505,0,0,0,0.00286615522714449,0,0,0,0,0
ETH,0,0,0,0.115551628904751,0,0,0.272929376961677,0.0145319098969694,0,0.0380522151659799,0,0,0,0,0.0274907265432783,0,0,0,0,0
XRP,0,0,0,0.062659865777865,0.0328617929647204,0,0.148438658562037,0,0,0.0978679078003378,0.0726424653425277,0,0,0,0.00789235467735405,0,0,0,0,0
BCH,0,0,0,0,0.276378684912948,0,0.0789999143724776,0,0,0,0,0,0,0,0.0492549343772896,0,0,0,0,0
BSV,0,0,0,0.503672884059622,0,0,0.129694697004976,0,0,0,0,0,0,0,0.0838930910651154,0,0,0,0,0
LTC,0,0,0,0.231930654652045,0.0256070114101194,0,0.331764295015468,0,0,0,0,0,0,0,0.0323592472492035,0,0,0,0,0
EOS,0,0,0,0.0768464354213063,0.111763026096216,0.146226267178258,0,0,0,0,0.0595381434988963,0,0,0.000000000000000000216840434497101,0.0361956942678132,0,0,0,0,0
BNB,0,0,0,0,0,0,0.233753838490054,0,0,0.0121206228214977,0.125992491494486,0,0,0,0.0980559163887958,0,0,0,0,0
XLM,0,0.0982163168493036,0,0.00566168335070064,0,0,0.161121277711583,0,0,0,0.0694139338430341,0,0,0,0.0689543161670129,0,0,0,0,0
ADA,0,0,0,0,0.0530475363724266,0,0.0685021847465133,0.171497302441936,0,0,0.234460952211978,0,0,0,0.0457550861588857,0,0,0,0,0
TRX,0,0,0,0.0176512933525821,0.0191598804193091,0,0.241057587493794,0.159501220486592,0,0.229524426971901,0,0,0,0,0.0257897481903333,0,0,0,0,0
XMR,0,0,0,0.158832017656246,-0.0263344169352584,0,0,0.326324339443447,0,0,0,0,0,0.0361399648367812,0.092339917782134,0,0,0,0,-0.0371870423660459
XTZ,0,0,0.287611110757102,0,0.00366123423674299,0,0,0,0,0,0,0,0,0,0.0263216015261586,0,0,0,0,0
ETC,0,0,0,0,0.101056259947661,0,0,0,0,0,0.152301759029537,0,0,0,0.297231897982261,0,0,0,0,0
DASH,0,0,0,0,0.220232457181511,0.240542118440199,0,0.18838804825661,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0126497693912773,0,0,0,0,0,0,0,0,-0.000596696539413624,-0.00857645087822714,0,0,0,0,-0.0669565500335706
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.00464327087397066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235160412601584
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
