,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,ETC,NEO,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0958369451070415,0.0609180899564659,0,0,0,0.0164420081754439,0,0.0435413277973837,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0913335259629767,0,0,0.010938097848721,0,0,0.159955022167013,0.137337305065136,0,0,0.0159309811774341,0,0,0,0,0
XRP,0,0,0,0.0096087344432291,0.103964103473004,0,0,0,0,0,0.210605467531649,0,0,0.0834647950811866,0,0,0,0,0,0
BCH,0,0,0.0777329857840101,0,0.0131579320725843,0,0,0.225583410136932,0.0291846783269984,0,0.0605992920746861,0.137836673148432,0,0,0,0,0,0,0,0
EOS,0,0.0114622532416125,0.101332701477655,0,0,0,0,0.0079196071871196,0,0,0.0191432393946763,0.403103456454411,0,0.0806801489953276,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.275652455881052,0,0,0.0171616169586273,0,0,0.23030697826214,0,0,0,0,0,0
LTC,0,0,0,0.130791505590034,0.130278273161077,0,0,0.0792651316716542,0,0,0.0324458456722057,0,0,0.115674160542047,0,0,0,0,0,0
ADA,0,0.0351836061024802,0,0.0651157357440532,0.15021385672246,0,0,0,0,0.0457705877548049,0,0.191562206338785,0,0.19782180863544,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0711503968658958,0,0.109439242864924,0,0.0760134423471113,0.0923166661543096,0,0,0.204061813618631,0,0,0,0,0,0
DASH,0,0,0,0,0.00199144022156443,0,0,0,0.0616951323975394,0,0.0597278814562322,0.0221167798063856,0,0.344516468488296,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0.174790501847109,0,0.658689380376862,0.0832806461252647,0,0,0,0,0
TRX,0,0,0,0,0.073904566137609,0,0,0.0310104734398632,0,0,0.251465399863529,0,0,0.257128177410192,0,0,0,0,0,0
ETC,0,0.16299841317653,0,0,0.152900217361444,0,0,0,0,0,0.198236389070893,0,0,0,0,0,0,0,0,0
NEO,0,0,0.0510383225414568,0,0.256781290374793,0,0,0,0,0.0161062543567923,0.324525407557883,0.0604604530711317,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0.0925991862719586,0,0,0,0,0,0,0.058603280416321,0.237062924634985,0.126100779213339,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0367028044227023
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00000234130023931168,0,0,0,0,0,0,0.000000361244679653221,0,0,0,0,0,0,0.0368075445595108,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461128537687973
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
