,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.000000000000000000433680868994202,0,0.39066287200986,0,0.0113618117218167,0,0,0.000000000000000000867361737988404,0,0,0,0.0297949671381956,0.0136283538269683,0,0,0,0,0
ETH,0,0,0,0,0.0645217036955055,0,0.0339198535625248,0,0,0.21803606391711,0.0896994314623437,0.0534668784917043,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.091589908203866,0,0.163584780576365,0.0447698333645067,0,0.244721509730571,0.0489462267980071,0,0,0,0,0,0,0,0,0
XRP,0,0.124715446509661,0,0,0,0,0.0396847386257512,0.0915230524539793,0,0,0.0834643081639184,0.0172314370411511,0,0,0.0387875657352815,0,0,0,0,0
LTC,0.120773576018632,0,0,0,0,0,0.0725194969706751,0,0,0.408825344641599,0.128060276887487,0,0,0.0271782623357585,0,0,0,0,0,0
DASH,0,0,0,0,0.0338364407417529,0,0.0329317358101336,0.085629738508642,0,0,0.097399167292968,0.0588051026797449,0,0.0013644784593999,0,0,0,0,0,0
NEO,0,0.16756039617044,0,0,0,0,0,0,0,0.222879118926991,0,0.242006668335249,0.046036486479547,0,0.131321572618719,0,0,0,0,0
XEM,0,0.179454849069573,0,0,0,0,0.0377588352755161,0,0,0.0437015219092841,0.19881240671155,-0.00000000000000000010842021724855,0,0,0.00932896981720542,0,0,0,0,0
XMR,0,0,0,0,0.108485788511248,0,0.0407422577375277,0,0,0.0684070653422724,0.0443192881380656,0.171216640265746,0,0.0206563078693327,0.0239511237694251,0,0,0,0,0
ETC,0,0,0.019925224897648,0,0.295504742912916,0,0,0,0,0,0.139591342443939,0.0275196281228009,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.154948718150779,0,0.17946205607377,0,0.113438075994504,0,0.140558819270199,0,0.078937069780218,0.0601607080385552,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.0966099176208532,0.200932537067477,0.0596440292907558,0.178151892055679,0.119926270940365,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.112051466569903,0,0.0904367327662253,0,0.109690516316946,0,0,0,0.0621849704015963,0.16144479460363,0,0,0,0,0,0,0,0
XLM,0,0,0.0220935949338355,0,0,0,0.159719047985269,0.168985488145512,0,0,0.387944560986545,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0230198001313849,0,0,0.00546828292762007,0,0,0,-0.016985983409678,0,-0.00510385839662754,0.0208000628381455,0,0,0,0,0,-0.0272752579046293
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.0000340376245762527,0,0,0,0,0,0,0,-0.0265619619235967
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
