,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.153231879468291,0.0395828110570471,0,0.0801275734904646,0.0405322507726327,0,0,0,0,0,0,-0.0187486015857143
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.114161856068881,0,0,0.0759992798097669,0,0,0,0.000000000000000000433680868994202,0.0258600547312225,0,0,0,0,0
DOGE,0.390186710098578,0,0.00870166477452955,0,0.0587506727926929,0.229818756823534,0.0153273038453319,0.0817086702522145,0,0,0,0,0,0
DASH,0,0,0,0.0471123540713506,0,0.239309015475373,0.0801399764550174,0,0,0,0,0,0,-0.0473617126302666
XLM,0.128059304402992,0.100656762764057,0,0.156746326891893,0.156149714789316,0,0,-0.0541316690913199,0,0,0,0,0,0
XMR,0.687436861359707,0,0,0,0.0299796133683314,0,0,-0.239619134699162,0.0871860565311302,0,-0.410747638353563,0,0,-0.0247040468509445
XEM,0,-0.0148845231985051,0.310208707212109,0.270954764456518,0,0,0,0,0,0,0,0,0,0.164951454833231
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0147017171521073,0,0.084388659088583,0,0,-0.0020377735886264,0.0073293302383151,0,0.211033329414548,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0.00000000000000000000000330872245021211,0.00000112318714656755,0,0.000000391521807242497,0,0,0,0,0.099706756507769,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699977216481002
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
