,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.107342138821892,0.0295301152088927,0.0230487592309323,0,0,0,0,0,0,0,0,0
XRP,0,0,0.22670194224481,0.170839732371571,0.220541715728712,0,0.0866431592927337,-0.284123635363355,0,0,0,0,0,-0.0213172051960403
LTC,0.348830876995207,0,0,0.0245507587706034,0,0,0.0517759403461272,0.0987509112038564,0.153404975025219,0,0,0,0,0.0742927895758483
DOGE,0,0.136875733169959,0.262467335691784,0,0.198939655975611,0,0,0.102231377710768,0,0,0,0,0,0
XLM,0,0.104252888549068,0.0940994520168135,0.198853743785674,0,0.0680142078277925,0,0,0,0,0,0,0,0
DASH,0,0.124431918568049,0.0743849612784076,0.0208023146895299,0.11484663085199,0,0.107630267293024,0,0,0,0,0,0,-0.0151875485123611
XMR,0,0,0,0,0,0,0,0,0.206055998007313,0,0,0,0,0
XEM,0,0,0.12378418923243,0.168313461426005,0,0,0,0,0,0,0,0,0,0.121763040030608
DGB,0,0,0.0788380056805859,0.0363316976022599,0,0,0.0802401323426754,0,0,0,0,0,0,0.121190185479547
BV010082.INDEX,0,0,-0.00339044943145278,0,0,0,0,0,0,0,0.0814792266622778,0,0,-0.0428882870488436
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413973970973613
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103269957127696
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0687988547667257
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
