,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.037628359335018,0.0316428050711339,0.00859493104204349,0,0.0395691659642751,-0.000000000000000000433680868994202,0,0.0965915245793861,0,0,0,0.0461895754532085,0,0,0,0,0
ETH,0,0,0,0.212698649772508,0,0,0,0,0.087498543497217,0.201956534838601,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.111788548326979,0,0,0,0.0946141879749064,0.103288806888214,0,0.0240245205018369,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.273345098135005,0,0,0.106508147595774,0,0.149282534717612,0.0113317504294077,0.0139640477581025,0,0,0,0,0,0,0,0
EOS,0,0,0,0.314736466646049,0,0,0,0.0397523831777719,0.176110186051096,0.112732594544176,0.0539625792165307,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.615928881543723,0,0,0.02425866717717,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.328260290357497,0.0380553723145858,0,0,0,0.0848585946839323,0,0.0593646926681739,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0654106895700251,0.132591732356297,0.154500524155799,0,0,-0.000000000000000000867361737988404,0.171684688802343,0,0.0602416001843069,0,0,0.0426258359656247,0,0,0,0,0
MIOTA,0,0,0,0,0.0826931778540408,0,0,0,0,0,0,0.56323621612369,0,0,0,0,0,0,0,0
TRX,0,0,0,0.305472524036242,0.127570427365704,0.04598759437655,0,0.0623754335598625,0,0,0,0.0661069417335708,0,0,0,0,0,0,0,0
XMR,0,0,0,0.595737267355363,0,0,0,0,0,0,0,0.0996684227141848,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.106994083127245,0,0,0,0.290460598846788,0.127826035158313,0.225113875346357,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.20869893992035,0.000412644384862638,0.0443588605524223,0,0,-0.0000000000000000000135525271560688,0,0,0.239527877771071,0,0.03580835343515,0,0,0,0,0,0
ETC,0,0,0,0.26212765446253,0,0,0,0,0.0629128215527704,0,0.065997009873175,0,0,0,0,0,0,0,0,0
XEM,0,0,0,-0.000000000000000000867361737988404,0.175702324498118,0.0744884241008815,0,0.129540376522803,0,-0.000000000000000000867361737988404,0,0.0399188423475662,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260929929669698
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,-0.000000557450676078678,0,0,0,0,0,0,0,0,0,0,-0.0106414771252398
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0600999155516894
VIX.INDEX,0,0,0,0,-0.00356631701732909,-0.0298060202054915,0,0,0,0,-0.0139690218046643,0,0,0,0,-0.998369937782017,0.262216679757319,0,0,0
