,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0144944924562857,0,0.0560659588525147,0,0,0.0765249968338376,0,0,0,0.0140697714593667,0,0,0.176274870747668,0,0,0,0,0,0
ETH,0,0,0.248107433070056,0.0231455581074992,0.00000000000000000010842021724855,0,0,0,0,0.17481536770814,0.0228266616973222,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.027206741903124,0,0.0795396693199954,0.0692454386190223,0,0.0574096146536628,0,0,0,0.282367830464313,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0366087863842931,0.0345788788682758,0,0.161064427021646,0,0.323967775093575,0,0,0.0834005450722439,0,0,0,0,0
EOS,0,0,0.219512838491621,0,0,0,0.119549617755055,0.0137643855302339,0.185170223900299,0,0,0,0,0,0,0,0,0,0,-0.0303406458336732
LTC,0,0,0.156483744945197,0.203981916772966,0.0143831417964232,0,0,0.0103784265294197,0,0,0,0,0,0.151473000947367,0,0,0,0,0,0
ADA,0,0,0.066243426570217,0,0.0698682485736758,0,0,0.323958483757411,0,0,0,0,0,0.118562649576753,0,0,0,0,0,0
XLM,0,0,0,0,0.122867679248008,0,0.161117120077632,0,0,0.00546630780762405,0,0,0,0.288458569469083,0,0,0,0,0,0
TRX,0,0,0,0.164314478051256,0.138662866514822,0,0,0.235655149466004,0,0.118956717129739,0.000000000000000000433680868994202,0,0,0.0190907247558738,0,0,0,0,0,0
MIOTA,0,0,0,0.248596144141729,0.00917137528276448,0,0.197354600913924,0,0,0,0,0.103715988785616,0,0.136178349148236,0,0,0,0,0,0
NEO,0,0,0,0.0736067120945306,0.095756027137903,0,0.0443427496458634,0.108298380295897,0,0.106077916200078,0,0,0,0.184981221857359,0.145616832886591,0,0,0,0,0
DASH,0,0,0,0.0955889701597838,0,0,0,0.0840402582102064,0.0182789171701091,0.324816639493183,0.00664187837565668,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0.0119160116951633,0,0,0.11245779734144,0,0,-0.00000000000000000693889390390723,0.268199968750283,0,0.144872157716558,0,0,0,0,0,0
XEM,0,0,0,0.00564145400404531,0,0,0.0973909463505006,0.191144109264319,0.0172618457864842,0.246988323292881,0.0158491549053694,0,0,0,0.0643198075638957,0,0,0,0,0
ETC,0,0,0,0.157390632714439,0.0909197853018794,0,0,0,0,0.0738394085168299,0,0.0333586617563427,0,0.192250416370644,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0401530978391966,0,0.0135188046413604,0,-0.0123420991385422,0,-0.0206915877305926,0,0,0,0,0,0,0,0,0,0,-0.0647451633784244
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00000221853971922587,0,0,0,0,0,0,0,0,0,0,0,0,-0.100859588324502
VIX.INDEX,0,0,0,0,-0.0000468147425257505,0,0,-0.0000164401597444043,0,0.0000259238303544544,0,0,0,0,0,0,0,0,-1.52956359892997,0
