,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0863352877745074,0,0.00881539749892118,0.111532442007789,0,0.0496421746938148,0,0,0,0.0205111856573003,0.0351704628948032,0,0,0,0,0
ETH,0,0,0,0,0.0652422804059008,0,0.024900715231485,0.110510993368096,0,0,0,0,0,0.0203186064813998,0.0331356547690276,0,0,0,0,0
XRP,0,0,0,0,0.0823821862867384,0,0,0,0,0,0,0,0,0,0.306504637891431,0,0,0,0,0
BCH,0,0,0,0,0,0,0.515091361630671,0,0,0,0,0,0,0,0.0787431829463948,0,0,0,0,0
LTC,0,0,0,0.00763547622443154,0,0,0,0,0,0.00222580435726206,0.624702545564839,0,0,0,0.0598505065620736,0,0,0,0,0
DASH,0,0,0,0.0206312782231728,0,0,0.0998347622644503,0.0745166487978811,0,0,0,0.137071987868554,0,0.0690883393158319,0,0,0,0,0,0
XEM,0,0.238989781790204,0,0.0842086540068569,0,0,0,0.0470343594771883,0,0.0242588637417541,0,0,0,0.146416472058592,0.135192522254962,0,0,0,0,0
MIOTA,0,0.225803739499602,0,0,0,0,0.06696745526239,0,0,0,0,0.263911482110691,0.09623261478648,0.266901883642311,0,0,0,0,0,0.0667285566810081
XMR,0,0,0,0,0,0,0,0,0,0,0,0.141601065324294,0,0,0.225106521039185,0,0,0,0,0
NEO,0.409804902123918,0,0,0.0874551184142028,0,0,0.10610191493522,0,0,0,0,0,0.226779975485402,0.247416612175297,0,0,0,0,0,-0.0511292836568073
ETC,0,0,0,0,0.337895688192526,0,0,0,0,0,0,0.059778268992078,0.0169353585517473,0.00614974409606211,0.0383405495694294,0,0,0,0,0
ZEC,0,0,0,0.00513330220359343,0,0.113461103101513,0,0.0211660208384589,0,0,0.0288733455882004,0,0.0953531116991373,0,0.173728915485058,0,0,0,0,0
EOS,0,0,0,0,0.091001473829173,0,0.0764247832988675,0.0285755111462433,0,0.0617292283703232,0,0,0,0.00259433341806695,0.11714546298648,0,0,0,0,0
BAT,0,0.0822244805147302,0,0,0.106102108801864,0,0,0.0384402476220038,0,0.227181071316042,0.158333154377891,0,0.0905780502426519,0,0,0,0,0,0,0
XLM,0,0.157752627381682,0.384398300171046,0,0,0,0,0,0.0983640439436616,0,0.253927039912813,0.14611990629302,0,0.0404725637372783,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0144914654848743,0,0,0,0,0,0,0,0,0.00903371246857226,0,0,0,0,0,0,-0.023104383674068
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132493915225378
DXY.INDEX,0,-0.00551532646980305,0,-0.000448504652184663,0,-0.0064958738077083,0,-0.000768361925000865,0,0,0,0,0.0065434789240792,-0.00397303198638898,0,0,0,0,0,0
SPX.INDEX,0,0,0,-0.000000185748482163546,0,-0.0000000186027972239414,0,0,-0.0000000395799462893734,0,0,0,0,0,0,0,0,0,0,-0.037936083902724
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
