,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,-0.0249698219688423,0,0,0.0406565817042734,0.0849758115126431,0,0,0,0,-0.0192571787219438,0.0799414957291478,0,0,0,0,0
XRP,0,0,0,0,0,-0.0966626410011289,0,0.423386758574164,0,0,0,0,0,0,0,0,0,0
XEM,0,-0.0530894277733862,-0.116435700401084,0,-0.13735834892722,0.206594223408322,0,0.135713149587578,0.478980312722515,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0506796814687432,0,0.121219081945762,0,-0.0827120803760999,0,0,0,0,0,0
ETC,0,0.313379021456028,-0.0128743117418844,0,0.0127947986180349,0,0.0783930113013824,0,0,0,0.263009859946413,0,0,0,0,0,0,0
DASH,0,0.0871246051140923,-0.106327210786748,0.0223372859183606,0,0,0,0.0381654419249221,0.409953479048181,-0.0393795422819829,0.114526870162821,-0.0113863596929748,0,0,0,0,0,0.00639486053459399
XLM,0,0,0.369671277204366,0,0.0136289103165162,0,0,0,0,0.210139877860966,0,0.0365063041198337,0,0,0,0,0,0
XMR,0,0,-0.00170465679271838,0.10007215638415,0.00625324975504753,0,0.091342634807751,0.0319617975442869,0,0,0,0,0.143952926714653,0,0,0,0,0
DOGE,0,0,0.161140024981347,0,0.0811089229747801,0,0,0.142278830725844,0,0,0,0,0.0715495329054696,0,0,0,0,0
ZEC,0,0,0,0.0341445319983809,0,0.0621932297138912,0.0916833679900392,0,0,0.0470873743762389,0,0,0.197348814720885,0,0,0,0,-0.0331681856981256
DGB,0,-0.0589138891750799,-0.302172873357964,0.0914743335388684,-0.183098142054159,-0.120230086026866,0,0.318603431731719,0,0.443184568089683,0,0,0.00000000000000000346944695195361,0,0,0,0,-0.439470894883368
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.000114888816958568,0,0.000572693394402587,0,0,0,0,0,-0.0833008274356727
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.000000508414789750777,0,-0.000000430838730076017,0,0.000000986972147482357,0,0,0,0,0,-0.0204718929604241
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
