,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,BNB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0661118013094444,0,0.0891295139020253,0,0,0,0,0.0128629907510118,0,0.0264718944884238,0,0,0.0135863325644815,0.135079581666357,0,0,0,0,0
ETH,0,0,0.131082554543508,0.134495959482627,0.0301449202111588,0,0,0.0617482713109815,0.091262755107957,0.021983214163136,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0368504679064785,0.0649788397300747,0,0,0.0601499236826667,0.0220787820439208,0.0127651895711424,0,0,0,0,0.426700170946663,0,0,0,0,0
BCH,0,0,0,0,0.149479540243269,0,0.010688699489771,0.0544222605571866,0.300232618831414,0,0,0,0.198754204195242,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,-0.0000000000000000138777878078145,0.192054366175342,0.0632108693994428,0.259725196738269,0.0668429950761086,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0900447378062466,0.198939752309932,0.0280878259523381,0,0.0203212727808468,0,0.0102038961935369,0,0,0,0,0,0.142564579903304,0,0,0,0,0
XLM,0,0,0,0,0.18333186825954,0,0,0.0263312197831777,0.0265322153610774,0.055215406277855,0.183292607035716,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0418486615341696,0.122525412483855,0,0.275514828429827,0,0.119777991322744,0.0784100409270364,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.323777863750855,0,0,0.000000000000000000867361737988404,0.242049826326378,0,0,0,0,0,0,0.116232694372425,0,0,0,0,0
TRX,0,0,0.0503406597965026,0,0.202547417270468,0,0.345945116927225,0.0173256746466342,0,0,0.237290473101461,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0731560852601361,0.118899555296459,0,0,0.0459991751470862,0.0754849716400557,0.076366380764082,0,0,0,0,0.226218721000101,0,0,0,0,0
DASH,0,0,0,0.164236810587504,0,0,0.150777633702418,0,0,0,0.00811322815327306,0,0.12691084400696,0,0.139607043695619,0,0,0,0,0
XMR,0,0,0,0.206187966238644,0.0957525789327033,0,0.111277282508411,0,0.00342843748521552,0.0605181397384163,0,0,0,0,0.0587196478246133,0,0,0,0,0
BNB,0,0,0,0.0691115152060767,0.0438054600634838,0,0,0.106246948900685,0.100307904258091,0,0,0,0,0,0.0565084547282322,0,0,0,0,0
XEM,0,0,0.00816354452629499,0.0506330453198996,0,0,0.0986316516830553,0,0.207285138243897,0,0.209884151555314,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0345665887322037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0819418641676319
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0.00526653584531081,0,0.0119048779934973,0,0,0,0,0,-0.0115515065756261,0,0,0.00101098640381145,0,0,0.0280917808080544,0,0,0.00389321036477274
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0555843475814221
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
