,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.163013730446978,0.0635922068506362,0,0.0808887650154708,0.146234254942184,0,0,0.0219782970526001,0,0,0,0,0,0
ETH,0,0,0,0,0.137858619791027,0,0,0,0,0.0643025077611678,0,0,0,0.10102499741486,0,0,0,0,0,0
XRP,0,0,0,0,0.0121674523039852,0,0.108781974628917,0,0.308077437142963,0,0,0,0,0.131516813323914,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.179647546024887,0.090030701145948,0,0.0309705459488281,0.254996197438881,0,0,0.0529911181127502,0,0,0,0,0,0
LTC,0,0,0,0.0145484876310613,0,0,0,0.0288797512442691,0.01800552836363,0,0.639913807790859,0,0,0.00527835052696459,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.134210477629972,0,0,0.0681786356234724,0,0,0.183018389268565,0,0,0,0,0,0,0
XEM,0,0.212283529568895,0,0.0415449340859398,0.00721100835688131,0,0,0,0,0.118001451860384,0,0,0,0.184790591174591,0,0,0,0,0,0
NEO,0,0,0,0.0174505660189186,0,0,0,0,0,0.172502459643952,0,0,0,0.229639533734049,0.0970952882508809,0,0,0,0,0
XMR,0,0,0.0425382125334611,0,0.00396024741392314,0,0,0,0,0,0,0,0.195274524070615,0.104287814188265,0.0136006809623854,0,0,0,0,0
MIOTA,0,0,0,0,0,0.282987492480972,0,0.200591838276204,0,0,0,0,0,0.0598789288048702,0.0925915420857319,0,0,0,0,0
ETC,0,0,0,0,0.332187551764213,0,0,0,0,0.0428500168666522,0,0,0,0.0434597989938375,0.00492042134046033,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.169968149416319,0.108530264471639,0.00955198118293926,0.10002887573784,0,0.0417820161795975,0,0,0.169366755160622,0.152440270574711,0,0,0,0,0
XLM,0,0,0.370518647039456,0.0174715806611311,0,0,0,0.0117790468259082,0.142738649540281,0.111865639442306,0.284887562803216,0,0.115555434999963,0,0,0,0,0,0,0
EOS,0,0,0,0,0.130709950936386,0,0.10242908434818,0.102526453203046,0,0.031313574927173,-0.0000000000000000000271050543121376,0,0.0333708268901175,0.118012798455278,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0426956884669132
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,-0.00436553596554461,0,0,0,0,-0.00693071318888791,0,0,-0.00111916516859429,0,0,0,0,0,0.0036214679267007,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00000052654272377463,0,-0.00000103018194784666,0,0,0,0,0,0,0,0,0,0,-0.0355115211356636
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
