,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0586678487170489,0.0217904228673236,0,0.0365383297400017,0,0.0144210027090354,0,0.0037927398574808,0,0,0.14669193589434,0,0,0,0,0,0
ETH,0,0,0.122410238712722,0.131209602684099,0.00297914301085346,0,0.10416889035148,0,0.0443349643279253,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0725661584453561,0.0722396674830871,0,0.114370598660128,0,0,0,0,0,0,0.304702859135751,0,0,0,0,0,0
BCH,0,0.00668021764996941,0,0,0.00992307465360945,0,0.044640450603286,0.102635139730643,0.0447983085542219,0,0,0.466525473588706,0,0.0333284816498091,0,0,0,0,0,0
EOS,0,0,0,0.06956318722716,0,0,-0.00000000000000000173472347597681,0.155556974722187,0.0748042862639739,0.122263902719445,0,0,0,0,0,0,0,0,0,-0.0222794694973543
LTC,0,0,0.139806190601898,0.189970694197101,0.0388360909275671,0,0,0,0.012806305235552,0,0,0,0,0.101852863678207,0,0,0,0,0,0
ADA,0,0,0.110400951185017,0.0369425566178892,0.0842573750730355,0,0,0.283483016365579,0.0545231633526644,0,0.034503683590724,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.109872798449987,0,0.296100449281566,0,0.0207237728603453,0.000000000000000000867361737988404,0,0,0,0.147167854866069,0,0,0,0,0,0
MIOTA,0,0,0.0309459231430047,0.27862449748463,0,0,0.24920520664262,0.00970882794355597,0,0,0,0,0.119792449367737,0,0,0,0,0,0,0
TRX,0,0,0,0.0612822233713174,0.174850101540073,0,0.116152690836185,0.310992603791213,0,0,0,0.0880463236488471,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0837865302448891,0.0823132128574655,0,0.0420627385889192,0.040409588682677,0.205023888477129,0.0403035847201946,0,0,0,0.186937172197425,0,0,0,0,0,0
XMR,0,0,0,0.0935493171854355,0.0161530053464322,0,0.0393404193782184,0,-0.0000000000000000138777878078145,0.0469555732322838,0,0,0.302096823192285,0.106422078671105,0,0,0,0,0,0
DASH,0,0,0,0.20726148184016,0,0,0,0.0723668145480286,0.121972781751499,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0275180473433882,0.0502597210965007,0.0102509684437274,0,0,0.222635463957249,0.242653639602556,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0762201655739497,0.0199706132022351,0,0.136262983138135,0,0.103368462600563,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0298746320798356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0934158174794235
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000002677223906054,-0.0000021828596502554,0,0,0,0,0,0,0,0,-0.079000575030413
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
