,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,ADA,XMR,TRX,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0836447902947707,0,0.136504860070214,0,0,0,0,0,0,0.0277093721314297,0,0.0902627031697332,0,0,0,0,0
ETH,0,0,0,0.0955037803920797,0.000000000000000000867361737988404,0.304022114272539,0,0.000000000000000000216840434497101,0,0,0,0,0,0,0.0275444789750843,0,0,0,0,0
XRP,0,0,0,0.0757954924962832,0.13043418341279,0.152156990595503,0,0,0.0424547618966377,0,0,0,0.0977613780130374,0,0,0,0,0,0,-0.0240388090335197
BCH,0,0.218604766911382,0,0,0,0,0,0.213190855192431,0,0,0,0,0.188640832876401,0,0.0232572190268555,0,0,0,0,0
LTC,0,0,0,0.10887064780206,0,0.552076987732989,0,0.0130458726673991,0,0,0,0,0.00988856234667648,0,-0.00000000000000000173472347597681,0,0,0,0,0
EOS,0,0,0,0,0.237956613549941,0,0,0.00535119032799971,0,0,0,0,0.259187929753618,0,0.0854990723006411,0,0,0,0,0
BNB,0,0,0,0.118089488278217,0,0,0,0,0,0,0,0,0.146243595383667,0,0.0253422147414942,0,0,0,0,0
BSV,0,0,0,0.139316042547441,0.175320735762697,0.298540930381204,0,0,0,0,0,0,0,0,0.0252175534536295,0,0,0,0,0
XTZ,0,0,0.235157167032179,0,0,0,0,0,0,0,0,0,0,0,0.23456100969897,0,0,0,0,0
XLM,0,0,0,0,0.173521849925943,0,0.0664004239052627,-0.00000000000000000346944695195361,0,0,0,0,0.155341016303718,0,0.0908055565808448,0,0,0,0,0
ADA,0,0,0,0,0,0.124406039885213,0,0.0527849223548613,0,0,0,0,0.232841276596815,0,0.077452655387407,0,0,0,0,0
XMR,0.240956616101441,0,0,0.31387336795935,0,0,0.0932316171278551,0,0,0,0,0,0.0293162792129863,0,0.0417501671164136,0,0,0,0,-0.0161073541001884
TRX,0,0,0,0.457494907342228,0,0.1869724229102,0.104130704233441,0,0,0,0,0,0,0,0,0,0,0,0,0
LEO,0.0806040138343918,0,0,-0.0670081605317636,0.151437828917102,0,0,0,0.00536228973484808,0,0,0,0,0,-0.0118955294450852,-0.0981762101153281,0,0,0,0
ATOM,0,0,0,0,0.00412024230618639,0,0,0.15804950128828,0.239930953794847,0.355008077890206,0.169895765089979,0,0.00443785637280165,0,0,0,0,0,0,-0.055215765288651
BV010082.INDEX,0,0,0,0,0,0,0,0.00462672140105481,0,0,0,0,0,0,0,0,0,0,0,-0.0730148237497573
CVIX.INDEX,0,0,0,0,0,0,0,0,0.000000350152504045492,0,0,0,-0.000000158149623137212,0,0,-0.222998980677386,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0.0000000436911375617103,0.00000105359191907015,0,0,0,0,0,0,0.0263841322408305,0,0,0,-0.0030713783569745
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476372640174486
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
