,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.116265311543098,0.025702335172628,0,0,0,0,0.0482032178103864,0,0,0,0,0.0397950821753925,0,0,0,0,0
ETH,0,0,0,0.189529277147427,0.0110408640974061,0,0,0.0167052388059745,0,0.030439853144162,0,0.0516584381029501,0.163218642687706,0,0,0,0,0,0,0
XRP,0,0,0,0.182932388352734,0.0524570565215737,0,0,0,0,0.241811356063691,0,0,0.0734193032639842,0,0,0,0,0,0,0
BCH,0,0,0.0356407019100314,0,0.000921115342353032,0,0,0.164114917112211,0,0.0762168120563516,0,0.12780285033055,0.0737010444525744,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.0190194883430152,0.0386053706954773,0.162464283761924,0.252204569992217,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.405021416466688,0,0,-0.00000000000000000173472347597681,0,0.0346752041661576,0,0.207753357892059,0,0,0,0,0
LTC,0,0,0,0.0789813263440176,0.0681079313394145,0,0,0,0,0.172665234703257,0,0,0.0218232000530771,0,0,0,0,0,0,0
ADA,0,0,0,0,0.1779539700239,0,0,0,0,0,0,0.288571752793644,0.11534004800954,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0.0747927085418195,0.0702624555930235,0,0.277771557359583,0,0.0468922442575423,0,0,0,0,0
MIOTA,0,0,0.2262364392713,0,0,0,0,0,0,0,0,0.188326564538084,0.535899376508727,0.0180674622231222,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0485111931046065,0.0735618731216587,0.0878268006402295,0,0.0834926504741232,0.24375765482162,0,0,0,0,0,0,0
TRX,0,0,0,0,0.222207460693531,0,0,0.131656264678466,0,0.22492418313427,0,0,0.147917356499078,0,0,0,0,0,0,0
NEO,0,0,0,0,0.275146302098077,0,0,0,0.0992294256590766,0.377301636519827,0,0.0823726552279946,0,0,0,0,0,0,0,0
ETC,0,0.427892855796393,0,0,0,0,0,0,0,0.148056961016668,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0.0267918139167963,0.106466711868948,0,0.0543614804266212,0,0.128927069343924,0,0.0470810848792128,0.0915141430592067,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0571240137900423
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,-0.0000014827935123003,0,0,0,0,0,0,0.0222805968322448,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0534115846960475
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
